date,n_uni,n_active,n_pump10,n_pump20,frac_pump10,frac_pump20,breadth,cs_ret_std,tot_qv,btc_ret,btc_rv,btc_above_ma,f_n_pump10_l1,f_n_pump10_l2,f_n_pump10_3d,f_n_pump10_5d,f_n_pump20_l1,f_n_pump20_3d,f_breadth_l1,f_cs_ret_std_l1,f_qv_ratio,f_btc_ret_l1,f_btc_rv_l1,f_btc_above_ma_l1,f_pump_momo
2023-09-14,100,103,4.0,3.0,0.04,0.03,0.95,0.02292989574612892,846005075556.953,0.010982655988681565,0.01952341318796055,1.0,6.0,3.0,3.0,2.6,0.0,0.0,0.97,0.020516584248541737,1.2090131255029606,0.011902540835294415,0.019394230829300346,1.0,3.4
2023-09-15,100,103,5.0,2.0,0.05,0.02,0.9,0.030610379775618313,1095950333140.4822,0.0010860939285601656,0.019511969962198117,1.0,4.0,6.0,4.333333333333333,3.0,3.0,1.0,0.95,0.02292989574612892,1.2320423801999154,0.010982655988681565,0.01952341318796055,1.0,1.0
2023-09-16,100,103,5.0,2.0,0.05,0.02,0.71,0.03802830722480056,1285212703209.7043,0.00027829571882495195,0.01951172402529401,1.0,5.0,4.0,5.0,3.6,2.0,1.6666666666666667,0.9,0.030610379775618313,1.5533733206846005,0.0010860939285601656,0.019511969962198117,1.0,1.4
2023-09-17,100,103,5.0,2.0,0.05,0.02,0.11,0.038880541270573096,1557204807934.9841,-0.00502121117463362,0.019546535567227803,1.0,5.0,5.0,4.666666666666667,4.6,2.0,2.3333333333333335,0.71,0.03802830722480056,1.7175016432007704,0.00027829571882495195,0.01951172402529401,1.0,0.40000000000000036
2023-09-18,100,103,4.0,1.0,0.04,0.01,0.72,0.02638009945693028,1488523380543.8853,0.006744918126481701,0.014272722634223545,1.0,5.0,5.0,5.0,5.0,2.0,2.0,0.11,0.038880541270573096,1.9366258464705857,-0.00502121117463362,0.019546535567227803,1.0,0.0
2023-09-19,100,103,4.0,1.0,0.04,0.01,0.96,0.0326377128384564,1148495608243.2976,0.01379332213233577,0.014587771560475533,1.0,4.0,5.0,4.666666666666667,4.6,1.0,1.6666666666666667,0.72,0.02638009945693028,1.7502248149700432,0.006744918126481701,0.014272722634223545,1.0,-0.5999999999999996
2023-09-20,100,103,5.0,1.0,0.05,0.01,0.68,0.03192058175137045,1287301082653.5308,2.7396884975928612e-05,0.010408924009612682,1.0,4.0,4.0,4.333333333333333,4.6,1.0,1.3333333333333333,0.96,0.0326377128384564,1.3696818458602644,0.01379332213233577,0.014587771560475533,1.0,-0.5999999999999996
2023-09-21,100,103,7.0,1.0,0.07,0.01,0.13,0.03749501017815363,1522957661573.073,-0.013487441227191312,0.010866080480258142,1.0,5.0,4.0,4.333333333333333,4.6,1.0,1.0,0.68,0.03192058175137045,1.509190376291623,2.7396884975928612e-05,0.010408924009612682,1.0,0.40000000000000036
2023-09-22,100,103,6.0,1.0,0.06,0.01,0.78,0.027600738582931335,1759330058883.2974,-0.001667500803257047,0.010819387970115666,1.0,7.0,5.0,5.333333333333333,5.0,1.0,1.0,0.13,0.03749501017815363,1.721432836974729,-0.013487441227191312,0.010866080480258142,1.0,2.0
2023-09-23,100,103,6.0,3.0,0.06,0.03,0.68,0.031114653080254632,1168485396662.8005,0.00022249416044609716,0.010811383322528862,1.0,6.0,7.0,6.0,5.2,1.0,1.0,0.78,0.027600738582931335,1.8847014011416057,-0.001667500803257047,0.010819387970115666,1.0,0.7999999999999998
2023-09-24,100,103,3.0,2.0,0.03,0.02,0.08,0.03800433947690217,1271998264525.5715,-0.011917224989705258,0.010995801210747457,0.0,6.0,6.0,6.333333333333333,5.6,3.0,1.6666666666666667,0.68,0.031114653080254632,1.2214439331863414,0.00022249416044609716,0.010811383322528862,1.0,0.40000000000000036
2023-09-25,100,103,3.0,0.0,0.03,0.0,0.57,0.019488130118771183,1318397707542.2312,-0.0012108414010181207,0.011003468676416939,0.0,3.0,6.0,5.0,5.4,2.0,2.0,0.08,0.03800433947690217,1.2866351537034504,-0.011917224989705258,0.010995801210747457,0.0,-2.4000000000000004
2023-09-26,100,103,3.0,0.0,0.03,0.0,0.37,0.021270093750401554,996601603620.4844,0.002110982108772805,0.011003214930744284,0.0,3.0,3.0,4.0,5.0,0.0,1.6666666666666667,0.57,0.019488130118771183,1.2827071600833813,-0.0012108414010181207,0.011003468676416939,0.0,-2.0
2023-09-27,100,103,4.0,0.0,0.04,0.0,0.68,0.018835669896801743,852311681006.3047,0.011628688092958932,0.010678655825333859,1.0,3.0,3.0,3.0,4.2,0.0,0.6666666666666666,0.37,0.021270093750401554,0.9509323871289322,0.002110982108772805,0.011003214930744284,0.0,-1.2000000000000002
2023-09-28,100,103,4.0,1.0,0.04,0.01,0.94,0.03357470456563616,1252574205509.043,0.016920131402861176,0.011029175189431565,1.0,4.0,3.0,3.3333333333333335,3.8,0.0,0.0,0.68,0.018835669896801743,0.7979788384916394,0.011628688092958932,0.010678655825333859,1.0,0.20000000000000018
2023-09-29,100,103,6.0,1.0,0.06,0.01,0.52,0.028257536669260067,1354649100357.0151,-0.00416210896567677,0.011100456966510314,1.0,4.0,4.0,3.6666666666666665,3.4,1.0,0.3333333333333333,0.94,0.03357470456563616,1.1305438801898375,0.016920131402861176,0.011029175189431565,1.0,0.6000000000000001
2023-09-30,100,103,6.0,1.0,0.06,0.01,0.65,0.026429269472635596,1445153313704.1782,0.004271404555708603,0.011073741910456321,1.0,6.0,4.0,4.666666666666667,4.0,1.0,0.6666666666666666,0.52,0.028257536669260067,1.1788880421761847,-0.00416210896567677,0.011100456966510314,1.0,2.0
2023-10-01,100,103,4.0,1.0,0.04,0.01,0.92,0.025883464160727204,1060084124747.5436,0.03196981457696021,0.011102069969578769,1.0,6.0,6.0,5.333333333333333,4.6,1.0,1.0,0.65,0.026429269472635596,1.202569651289168,0.004271404555708603,0.011073741910456321,1.0,1.4000000000000004
2023-10-02,100,103,3.0,1.0,0.03,0.01,0.11,0.03156688699538339,1154741074047.007,-0.009705845142457458,0.010811337505369032,1.0,4.0,6.0,5.333333333333333,4.8,1.0,1.0,0.92,0.025883464160727204,0.8682416908711421,0.03196981457696021,0.011102069969578769,1.0,-0.7999999999999998
2023-10-03,100,103,2.0,1.0,0.02,0.01,0.2,0.04060959739715502,1484916500803.1948,-0.006084096976008497,0.01080077587243497,1.0,3.0,4.0,4.333333333333333,4.6,1.0,1.0,0.11,0.03156688699538339,0.9356939485502516,-0.009705845142457458,0.010811337505369032,1.0,-1.5999999999999996
2023-10-04,100,103,2.0,0.0,0.02,0.0,0.3,0.024860220847452503,1467687638756.5999,0.010642949964175533,0.010786725402214144,1.0,2.0,3.0,3.0,4.2,1.0,1.0,0.2,0.04060959739715502,1.1714904565474074,-0.006084096976008497,0.01080077587243497,1.0,-2.2
2023-10-05,100,103,2.0,0.0,0.02,0.0,0.23,0.02396855958518876,1090951018598.9235,-0.009004375962473415,0.011079578477683264,1.0,2.0,2.0,2.3333333333333335,3.4,0.0,0.6666666666666666,0.3,0.024860220847452503,1.130182562386274,0.010642949964175533,0.010786725402214144,1.0,-1.4
2023-10-06,100,103,4.0,3.0,0.04,0.03,0.89,0.04954210515671364,976060838117.278,0.014389504305328787,0.011420467104739717,1.0,2.0,2.0,2.0,2.6,0.0,0.3333333333333333,0.23,0.02396855958518876,0.8402409061245716,-0.009004375962473415,0.011079578477683264,1.0,-0.6000000000000001
2023-10-07,100,103,3.0,0.0,0.03,0.0,0.44,0.015271699577315799,1305668216573.734,0.002747689971772698,0.011281636535459733,1.0,4.0,2.0,2.6666666666666665,2.6,3.0,1.0,0.89,0.04954210515671364,0.7608111842694768,0.014389504305328787,0.011420467104739717,1.0,1.4
