market,date,regime,p_lab_up_05,p_lab_up_10,p_lab_up_15,p_lab_up_20,p_lab_dn_03,p_lab_dn_05,p_lab_dn_10,p_lab_close_neg,exp_downside,med_downside,rr_ratio,rr_pen_lam2,upside_only_rank,rr_rank
KRW-SEI,2026-05-31,bear_quiet,0.182604398319743,0.038299975290338524,0.013178486121406803,0.004530104604233589,0.4398319743019521,0.1541059220822008,0.010707519973643028,0.6399802322708179,-0.029434220452803767,-0.023813919143437334,0.24853019775521112,-0.2699118688740631,55,35
KRW-PYTH,2026-05-31,bear_quiet,0.26941767564451036,0.10378057820607858,0.043571369738901244,0.02001482579688658,0.5592620047772012,0.18861708261263488,0.03056013179571664,0.7129560991681081,-0.032141016955413854,-0.02640264026402972,0.5502183406113538,-0.2734535870191912,28,37
KRW-VIRTUAL,2026-05-31,bear_quiet,0.1530351700848365,0.028498476237542213,0.007412898443291327,0.0005765587678115477,0.4398319743019521,0.1541059220822008,0.01927353595255745,0.6399802322708179,-0.029434220452803767,-0.023813919143437334,0.18492784607161947,-0.2797133679268594,67,38
KRW-ICP,2026-05-31,bear_quiet,0.1146528292562392,0.028498476237542213,0.007412898443291327,0.0014825796886582653,0.38711802981632487,0.1541059220822008,0.005106663372045136,0.6005271394448563,-0.029434220452803767,-0.023813919143437334,0.18492784607161947,-0.2797133679268594,67,38
KRW-SUI,2026-05-31,bear_quiet,0.08162424841446339,0.01828514949345194,0.0019767729182110206,0.0,0.32336710320401946,0.1541059220822008,0.03056013179571664,0.6005271394448563,-0.029434220452803767,-0.023813919143437334,0.11865312667022983,-0.28992669467094967,73,40
KRW-BONK,2026-05-31,bear_quiet,0.08162424841446339,0.01828514949345194,0.007412898443291327,0.0014825796886582653,0.32336710320401946,0.1541059220822008,0.033934601762622515,0.5246684787085084,-0.029434220452803767,-0.023813919143437334,0.11865312667022983,-0.28992669467094967,73,40
KRW-ATH,2026-05-31,bear_quiet,0.1146528292562392,0.01828514949345194,0.003953545836422041,0.0014825796886582653,0.38711802981632487,0.1541059220822008,0.01927353595255745,0.571287373362985,-0.029434220452803767,-0.023813919143437334,0.11865312667022983,-0.28992669467094967,73,40
KRW-LAYER,2026-05-31,bear_quiet,0.08162424841446339,0.01828514949345194,0.003953545836422041,0.0014825796886582653,0.38711802981632487,0.1541059220822008,0.03056013179571664,0.571287373362985,-0.029434220452803767,-0.023813919143437334,0.11865312667022983,-0.28992669467094967,73,40
KRW-BIO,2026-05-31,bear_quiet,0.21787479406919275,0.07767070257804135,0.043571369738901244,0.009883864591055103,0.4398319743019521,0.18861708261263488,0.033934601762622515,0.5246684787085084,-0.032141016955413854,-0.02640264026402972,0.4117903930131004,-0.29956346264722844,37,44
KRW-PROS,2026-05-31,bear_quiet,0.26941767564451036,0.05494233937397035,0.043571369738901244,0.02001482579688658,0.38711802981632487,0.18861708261263488,0.033934601762622515,0.5479406919275124,-0.032141016955413854,-0.02640264026402972,0.29129036783378776,-0.3222918258512994,49,45
KRW-SONIC,2026-05-31,bear_quiet,0.182604398319743,0.05494233937397035,0.02742772424017791,0.009883864591055103,0.4398319743019521,0.18861708261263488,0.010707519973643028,0.6005271394448563,-0.032141016955413854,-0.02640264026402972,0.29129036783378776,-0.3222918258512994,49,45
KRW-AVNT,2026-05-31,bear_quiet,0.26941767564451036,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.4971169686985173,0.2384678747940692,0.03056013179571664,0.6399802322708179,-0.035842534088256224,-0.029860729228665228,0.6106578161410564,-0.3313134779465932,12,47
KRW-RENDER,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.4398319743019521,0.2384678747940692,0.01927353595255745,0.6005271394448563,-0.035842534088256224,-0.029860729228665228,0.6106578161410564,-0.3313134779465932,12,47
KRW-PENGU,2026-05-31,bear_quiet,0.182604398319743,0.038299975290338524,0.013178486121406803,0.0014825796886582653,0.4398319743019521,0.18861708261263488,0.01927353595255745,0.6399802322708179,-0.032141016955413854,-0.02640264026402972,0.20305676855895197,-0.33893418993493124,55,49
KRW-B3,2026-05-31,bear_quiet,0.182604398319743,0.038299975290338524,0.013178486121406803,0.009883864591055103,0.38711802981632487,0.18861708261263488,0.05238448233259204,0.5246684787085084,-0.032141016955413854,-0.02640264026402972,0.20305676855895197,-0.33893418993493124,55,49
KRW-ZORA,2026-05-31,bear_quiet,0.182604398319743,0.038299975290338524,0.013178486121406803,0.006260296540362438,0.4398319743019521,0.18861708261263488,0.01927353595255745,0.571287373362985,-0.032141016955413854,-0.02640264026402972,0.20305676855895197,-0.33893418993493124,55,49
KRW-BCH,2026-05-31,bear_quiet,0.1530351700848365,0.028498476237542213,0.003953545836422041,8.236553825879252e-05,0.38711802981632487,0.18861708261263488,0.033934601762622515,0.6005271394448563,-0.032141016955413854,-0.02640264026402972,0.15109170305676856,-0.34873568898772755,67,52
KRW-DATA,2026-05-31,bear_quiet,0.1146528292562392,0.01828514949345194,0.0019767729182110206,8.236553825879252e-05,0.38711802981632487,0.18861708261263488,0.03056013179571664,0.5479406919275124,-0.032141016955413854,-0.02640264026402972,0.09694323144104804,-0.3589490157318178,73,53
KRW-NEWT,2026-05-31,bear_quiet,0.26941767564451036,0.10378057820607858,0.043571369738901244,0.02001482579688658,0.4971169686985173,0.2384678747940692,0.05238448233259204,0.571287373362985,-0.035842534088256224,-0.029860729228665228,0.435197312408219,-0.3731551713820598,28,54
KRW-ARKM,2026-05-31,bear_quiet,0.32130796474754963,0.10378057820607858,0.043571369738901244,0.02001482579688658,0.4971169686985173,0.2384678747940692,0.01927353595255745,0.6005271394448563,-0.035842534088256224,-0.029860729228665228,0.435197312408219,-0.3731551713820598,28,54
KRW-FF,2026-05-31,bear_quiet,0.26941767564451036,0.10378057820607858,0.02742772424017791,0.009883864591055103,0.5592620047772012,0.2384678747940692,0.03056013179571664,0.6399802322708179,-0.035842534088256224,-0.029860729228665228,0.435197312408219,-0.3731551713820598,28,54
KRW-OPEN,2026-05-31,bear_quiet,0.32130796474754963,0.07767070257804135,0.07124619059385554,0.02001482579688658,0.4971169686985173,0.2384678747940692,0.03056013179571664,0.6005271394448563,-0.035842534088256224,-0.029860729228665228,0.3257071949213893,-0.399265047010097,37,57
KRW-AXL,2026-05-31,bear_quiet,0.21787479406919275,0.07767070257804135,0.043571369738901244,0.02001482579688658,0.4971169686985173,0.2384678747940692,0.01927353595255745,0.571287373362985,-0.035842534088256224,-0.029860729228665228,0.3257071949213893,-0.399265047010097,37,57
KRW-VVV,2026-05-31,bear_quiet,0.5572028663207315,0.27905444362078907,0.1642368832880323,0.036735030063421464,0.6179886335557203,0.3480767646816572,0.033934601762622515,0.5479406919275124,-0.04455795428878055,-0.038062283737024805,0.8017037387600567,-0.41709908574252536,1,59
KRW-ZK,2026-05-31,bear_quiet,0.3932954451857343,0.27905444362078907,0.1642368832880323,0.10386294374433737,0.6179886335557203,0.3480767646816572,0.03056013179571664,0.7129560991681081,-0.04455795428878055,-0.038062283737024805,0.8017037387600567,-0.41709908574252536,1,59
KRW-NXPC,2026-05-31,bear_quiet,0.3932954451857343,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.4971169686985173,0.28358454822502266,0.01927353595255745,0.5479406919275124,-0.039374259637051774,-0.033528918692453225,0.5135056636654081,-0.42154682480850014,12,61
KRW-PLUME,2026-05-31,bear_quiet,0.3932954451857343,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.5592620047772012,0.28358454822502266,0.03056013179571664,0.6005271394448563,-0.039374259637051774,-0.033528918692453225,0.5135056636654081,-0.42154682480850014,12,61
KRW-UP2,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.07124619059385554,0.02001482579688658,0.6179886335557203,0.28358454822502266,0.05238448233259204,0.6005271394448563,-0.039374259637051774,-0.033528918692453225,0.5135056636654081,-0.42154682480850014,12,61
KRW-XTZ,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.707437608104769,0.28358454822502266,0.01927353595255745,0.7129560991681081,-0.039374259637051774,-0.033528918692453225,0.5135056636654081,-0.42154682480850014,12,61
KRW-XPL,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.5592620047772012,0.28358454822502266,0.03056013179571664,0.6399802322708179,-0.039374259637051774,-0.033528918692453225,0.5135056636654081,-0.42154682480850014,12,61
KRW-ENS,2026-05-31,bear_quiet,0.32130796474754963,0.05494233937397035,0.043571369738901244,0.02001482579688658,0.4398319743019521,0.2384678747940692,0.033934601762622515,0.7129560991681081,-0.035842534088256224,-0.029860729228665228,0.2303972366148532,-0.42199341021416803,49,66
KRW-ZBT,2026-05-31,bear_quiet,0.21787479406919275,0.05494233937397035,0.02742772424017791,0.004530104604233589,0.4398319743019521,0.2384678747940692,0.05238448233259204,0.5246684787085084,-0.035842534088256224,-0.029860729228665228,0.2303972366148532,-0.42199341021416803,49,66
KRW-CHIP,2026-05-31,bear_quiet,0.182604398319743,0.05494233937397035,0.02742772424017791,0.009883864591055103,0.4971169686985173,0.2384678747940692,0.09743843176015156,0.5479406919275124,-0.035842534088256224,-0.029860729228665228,0.2303972366148532,-0.42199341021416803,49,66
KRW-CHZ,2026-05-31,bear_quiet,0.21787479406919275,0.038299975290338524,0.013178486121406803,0.006260296540362438,0.4398319743019521,0.2384678747940692,0.05238448233259204,0.571287373362985,-0.035842534088256224,-0.029860729228665228,0.16060853196017605,-0.4386357742977999,55,69
KRW-ERA,2026-05-31,bear_quiet,0.1530351700848365,0.038299975290338524,0.02742772424017791,0.006260296540362438,0.4971169686985173,0.2384678747940692,0.05238448233259204,0.6399802322708179,-0.035842534088256224,-0.029860729228665228,0.16060853196017605,-0.4386357742977999,55,69
KRW-AKT,2026-05-31,bear_quiet,0.182604398319743,0.038299975290338524,0.013178486121406803,0.004530104604233589,0.4971169686985173,0.2384678747940692,0.03056013179571664,0.6005271394448563,-0.035842534088256224,-0.029860729228665228,0.16060853196017605,-0.4386357742977999,55,69
KRW-FLOCK,2026-05-31,bear_quiet,0.21787479406919275,0.038299975290338524,0.013178486121406803,0.0014825796886582653,0.4398319743019521,0.2384678747940692,0.05238448233259204,0.6005271394448563,-0.035842534088256224,-0.029860729228665228,0.16060853196017605,-0.4386357742977999,55,69
KRW-ENA,2026-05-31,bear_quiet,0.182604398319743,0.038299975290338524,0.013178486121406803,0.004530104604233589,0.4398319743019521,0.2384678747940692,0.033934601762622515,0.5246684787085084,-0.035842534088256224,-0.029860729228665228,0.16060853196017605,-0.4386357742977999,55,69
KRW-CPOOL,2026-05-31,bear_quiet,0.32130796474754963,0.10378057820607858,0.043571369738901244,0.036735030063421464,0.5592620047772012,0.28358454822502266,0.033934601762622515,0.6399802322708179,-0.039374259637051774,-0.033528918692453225,0.36595991867557365,-0.46338851824396676,28,74
KRW-CFG,2026-05-31,bear_quiet,0.26941767564451036,0.10378057820607858,0.07124619059385554,0.02001482579688658,0.4971169686985173,0.28358454822502266,0.033934601762622515,0.6005271394448563,-0.039374259637051774,-0.033528918692453225,0.36595991867557365,-0.46338851824396676,28,74
KRW-AXS,2026-05-31,bear_quiet,0.26941767564451036,0.07767070257804135,0.043571369738901244,0.02001482579688658,0.707437608104769,0.28358454822502266,0.03056013179571664,0.7129560991681081,-0.039374259637051774,-0.033528918692453225,0.2738890502468777,-0.489498393872004,37,76
KRW-MEGA,2026-05-31,bear_quiet,0.26941767564451036,0.07767070257804135,0.02742772424017791,0.02001482579688658,0.5592620047772012,0.28358454822502266,0.05238448233259204,0.5246684787085084,-0.039374259637051774,-0.033528918692453225,0.2738890502468777,-0.489498393872004,37,76
KRW-TRAC,2026-05-31,bear_quiet,0.32130796474754963,0.07767070257804135,0.043571369738901244,0.036735030063421464,0.5592620047772012,0.28358454822502266,0.05238448233259204,0.571287373362985,-0.039374259637051774,-0.033528918692453225,0.2738890502468777,-0.489498393872004,37,76
KRW-SAHARA,2026-05-31,bear_quiet,0.182604398319743,0.038299975290338524,0.013178486121406803,0.004530104604233589,0.5592620047772012,0.28358454822502266,0.05238448233259204,0.571287373362985,-0.039374259637051774,-0.033528918692453225,0.13505663665408074,-0.5288691211597067,55,79
KRW-BAT,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.1642368832880323,0.036735030063421464,0.5592620047772012,0.3480767646816572,0.03056013179571664,0.6399802322708179,-0.04455795428878055,-0.038062283737024805,0.41836251774727873,-0.5505312577217693,12,80
KRW-IOTA,2026-05-31,bear_quiet,0.3932954451857343,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.6179886335557203,0.3480767646816572,0.03056013179571664,0.7129560991681081,-0.04455795428878055,-0.038062283737024805,0.41836251774727873,-0.5505312577217693,12,80
KRW-JTO,2026-05-31,bear_quiet,0.3932954451857343,0.14562227164154518,0.07124619059385554,0.02001482579688658,0.6179886335557203,0.3480767646816572,0.05238448233259204,0.6005271394448563,-0.04455795428878055,-0.038062283737024805,0.41836251774727873,-0.5505312577217693,12,80
KRW-AZTEC,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.07124619059385554,0.036735030063421464,0.5592620047772012,0.3480767646816572,0.03056013179571664,0.6399802322708179,-0.04455795428878055,-0.038062283737024805,0.41836251774727873,-0.5505312577217693,12,80
KRW-IRYS,2026-05-31,bear_quiet,0.3932954451857343,0.14562227164154518,0.1642368832880323,0.036735030063421464,0.6179886335557203,0.3480767646816572,0.09743843176015156,0.6399802322708179,-0.04455795428878055,-0.038062283737024805,0.41836251774727873,-0.5505312577217693,12,80
KRW-ZAMA,2026-05-31,bear_quiet,0.3932954451857343,0.14562227164154518,0.07124619059385554,0.02001482579688658,0.6179886335557203,0.3480767646816572,0.033934601762622515,0.6005271394448563,-0.04455795428878055,-0.038062283737024805,0.41836251774727873,-0.5505312577217693,12,80
KRW-ONDO,2026-05-31,bear_quiet,0.32130796474754963,0.10378057820607858,0.07124619059385554,0.036735030063421464,0.6179886335557203,0.3480767646816572,0.033934601762622515,0.6005271394448563,-0.04455795428878055,-0.038062283737024805,0.29815428300993846,-0.5923729511572359,28,86
