target,fold,leaf,depth,rule,root_feat,support_train,support_val,pos_train_pct,pos_val_pct,base_val_pct,lift_val,gap_train_val_pp,recall_val,fire_rate_val_pct,support_val_top,pos_val_top_pct,lift_val_top,fail_eod_val_pct
pump15,2,7,3,vol_7d <= +0.814 AND log_return_1d > +0.033 AND btc_return_1d > +0.015,vol_7d,1367,1328,2.9992684711046085,4.216867469879518,2.2910584393092184,1.8405761274037835,-1.2175989987749092,12.095032397408207,6.5713296056212585,1207,4.225352112676056,1.8442794998935297,-0.18798538540212725
pump15,2,10,3,vol_7d > +0.814 AND log_return_1d <= +0.030 AND atr_pct_14 <= +0.104,vol_7d,3748,2030,2.5880469583778014,2.2660098522167487,2.2910584393092184,0.9890668056900276,0.32203710616105286,9.935205183585314,10.045029442327676,1962,2.2426095820591234,0.978853067901357,-0.4954745915293812
pump15,2,11,3,vol_7d > +0.814 AND log_return_1d <= +0.030 AND atr_pct_14 > +0.104,vol_7d,1401,780,9.635974304068522,6.282051282051282,2.2910584393092184,2.7419864872348674,3.3539230220172414,10.583153347732182,3.859666485229353,773,6.338939197930142,2.766816895269336,-0.673186128326307
pump15,2,13,3,vol_7d > +0.814 AND log_return_1d > +0.030 AND log_return_1d <= +0.110,vol_7d,1161,822,9.732988802756244,5.109489051094891,2.2910584393092184,2.230187132474658,4.623499751661353,9.071274298056156,4.067494680587857,815,5.153374233128835,2.249342113980575,-0.8548884361875885
pump15,2,14,3,vol_7d > +0.814 AND log_return_1d > +0.030 AND log_return_1d > +0.110,vol_7d,463,216,24.838012958963283,16.203703703703702,2.2910584393092184,7.0725841932645395,8.634309255259579,7.559395248380129,1.0688307189865902,215,16.27906976744186,7.105479933698328,-2.7096208909890565
pump15,3,3,3,log_return_1d <= +0.034 AND atr_pct_14 <= +0.077 AND btc_return_21d <= +0.331,log_return_1d,35077,10360,1.014910055021809,1.3223938223938223,3.758343607839803,0.3518554875172522,-0.3074837673720132,15.497737556561086,44.04574635432167,7618,1.3258072985035443,0.35276372701472697,-0.16428490556659148
pump15,3,4,3,log_return_1d <= +0.034 AND atr_pct_14 <= +0.077 AND btc_return_21d > +0.331,log_return_1d,723,196,5.94744121715076,6.122448979591836,3.758343607839803,1.6290285344907192,-0.1750077624410762,1.3574660633484164,0.8332979040006803,137,5.109489051094891,1.3595055652805759,-2.2434516757290655
pump15,3,6,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.077 AND vol_7d <= +0.950,log_return_1d,10762,7568,2.8990893885894815,3.646934460887949,3.758343607839803,0.9703568490333195,-0.7478450722984673,31.221719457013574,32.17550274223035,5803,3.6015853868688605,0.9582906095536479,-0.20204040060345715
pump15,3,7,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.077 AND vol_7d > +0.950,log_return_1d,1743,754,9.63855421686747,8.753315649867375,3.758343607839803,2.3290354909562274,0.8852385670000962,7.46606334841629,3.2056460184515965,738,8.807588075880759,2.3434760082894943,-1.5746272182936494
pump15,3,10,3,log_return_1d > +0.034 AND log_return_1d <= +0.080 AND btc_ma_distance_z <= -0.498,log_return_1d,1312,770,1.8292682926829267,5.0649350649350655,3.758343607839803,1.3476508785332315,-3.235666772252138,4.411764705882353,3.27367033714553,674,4.896142433234421,1.3027394363360498,-0.33003466765421124
pump15,3,11,3,log_return_1d > +0.034 AND log_return_1d <= +0.080 AND btc_ma_distance_z > -0.498,log_return_1d,4648,2822,5.80895008605852,7.193479801559177,3.758343607839803,1.914002696973681,-1.3845297155006577,22.963800904977376,11.997789209642447,2233,7.344379758172861,1.9541533517192746,0.43632325021165835
pump15,3,13,3,log_return_1d > +0.034 AND log_return_1d > +0.080 AND return_7d <= +0.934,log_return_1d,809,692,10.012360939431398,11.99421965317919,3.758343607839803,3.191357923783119,-1.981858713747793,9.389140271493213,2.942051783512606,638,11.912225705329153,3.169541411934921,-1.2941521685557213
pump15,3,14,3,log_return_1d > +0.034 AND log_return_1d > +0.080 AND return_7d > +0.934,log_return_1d,756,359,22.354497354497354,18.94150417827298,3.758343607839803,5.039854296121705,3.4129931762243744,7.6923076923076925,1.5262956506951235,359,18.94150417827298,5.039854296121705,-3.4192424558242362
