date,market,regime,fold,p_lab_up_10,p_lab_dn_05,p_lab_dn_10,exp_downside,net,outcome,pump20_hit,eod_ret,up_high_ret,down_low_ret,next_close_ret,R1,policy,sort_col,p_lab_sus3,lab_sus3,rr_sus3,p_lab_sus5,lab_sus5,rr_sus5,p_lab_sus_net,lab_sus_net,rr_sus_net,p_lab_fwd1,lab_fwd1,rr_fwd1
2025-07-19,KRW-MANA,bull_quiet,3,0.09223833313025466,0.21311075910807847,0.005847953216374269,-0.034042297659439696,0.03627777777777769,eod,0,0.03777777777777547,0.03777777777777547,-0.028888888888891073,0.027837259100640166,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.21732296408880264
2025-07-19,KRW-DEEP,bull_quiet,3,0.13352826510721247,0.2631578947368421,0.03252923976608187,-0.037969218847233185,-0.0315,sl,0,0.043947571318423195,0.051657671549726114,-0.030840400925215783,-0.004062038404730628,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.16727582846003902
2025-07-19,KRW-BLUR,bull_quiet,3,0.06164717348927875,0.16593567251461988,0.012670565302144249,-0.030763835912933784,0.03155785123966931,eod,0,0.033057851239660874,0.033057851239660874,-0.01652892561984276,0.127999999999991,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.11257309941520466
2025-07-20,KRW-GAS,bull_quiet,3,0.03374756335282651,0.055190058479532164,0.0,-0.020896054023721786,0.0485,tp,0,0.06824146981627277,0.0936132983377076,-0.0008748906386704114,-0.0073710073710075985,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.11417755453374918
2025-07-20,KRW-ME,bull_quiet,3,0.03374756335282651,0.055190058479532164,0.0,-0.020896054023721786,0.0485,tp,0,0.04074702886247805,0.05008488964346269,-0.0067911714770805265,0.08156606851549686,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.11417755453374918
2025-07-20,KRW-SOL,bull_quiet,3,0.021442495126705652,0.055190058479532164,0.0,-0.020896054023721786,0.019938878581735653,eod,0,0.021438878581735654,0.02947845804988658,-0.0043290043290042934,0.07790110998990918,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.11417755453374918
2025-07-21,KRW-VANA,bull_quiet,3,0.13352826510721247,0.16593567251461988,0.0004873294346978557,-0.030763835912933784,0.0485,tp,0,0.0674668874172184,0.07270971302428242,-0.02345474613686549,-0.028951790099521868,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.26449805068226123
2025-07-21,KRW-LSK,bull_quiet,3,0.2744883040935672,0.2631578947368421,0.005847953216374269,-0.037969218847233185,0.018914245268961294,eod,0,0.02041424526895974,0.022798390701831206,-0.018179108925646004,-0.004964953271029526,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.16727582846003902
2025-07-21,KRW-MOCA,bull_quiet,3,0.2744883040935672,0.2631578947368421,0.020957719020348483,-0.037969218847233185,0.0485,tp,0,0.06400665004155393,0.0748129675810385,-0.02161263507897726,-0.032031250000007505,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.16727582846003902
2025-07-22,KRW-WAVES,bull_quiet,3,0.09223833313025466,0.21311075910807847,0.0004873294346978557,-0.034042297659439696,-0.0315,sl,0,-0.0030902348578497607,0.004326328800988266,-0.043881334981459075,-0.06571605703657835,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.21732296408880264
2025-07-22,KRW-NEWT,bull_quiet,3,0.13352826510721247,0.21311075910807847,0.012670565302144249,-0.034042297659439696,-0.0315,sl,0,0.05429480381760121,0.09862142099681637,-0.06892895015906886,0.13357473345403093,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.21732296408880264
2025-07-22,KRW-ZRO,bull_quiet,3,0.13352826510721247,0.2631578947368421,0.005847953216374269,-0.037969218847233185,-0.0315,sl,0,-0.043181112146629674,0.014290152221186458,-0.0757999378689036,-0.11136363636363666,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.16727582846003902
2025-07-23,KRW-BCH,bull_quiet,3,0.03374756335282651,0.018518518518518517,0.0004873294346978557,-0.015692928384700724,-0.0315,sl,0,-0.020882971268395223,0.009810791871058155,-0.046951646811492664,-0.001145147437732641,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.1256091617933723
2025-07-23,KRW-MASK,bull_quiet,3,0.09223833313025466,0.16593567251461988,0.012670565302144249,-0.030763835912933784,-0.0315,sl,0,-0.0772163965681606,0.010009532888464845,-0.10581506196377544,-0.03615702479338889,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.11257309941520466
