policy,k,lam,dump_cut,n,prec_pump,hit,hit10_rate,stop_rate,loss_rate,p_loss_lt_5,p_beyond_sl,cvar95,worst,net_mean,net_median,mdd,cum,sharpe,sortino,deep_dump_rate,p_min_lt_10,p_close_lt_5,no_cvar95,no_worst,no_cum
ds_rerank,3,1.0,none,1149,0.07571801566579635,0.3124456048738033,0.23063533507397738,0.515230635335074,0.6875543951261966,0.516100957354221,0.0,-0.0515,-0.051500000000000004,-0.008967465346704562,-0.051500000000000004,-0.981927511084852,-0.9775415689856677,-3.9750631802668854,-10.268644523714995,0.25935596170583114,0.1288076588337685,0.24804177545691905,-0.16684099323071308,-0.4320610561056106,-0.9772057493064711
ds_rerank,3,1.0,0.5,1125,0.07644444444444444,0.31377777777777777,0.232,0.5128888888888888,0.6862222222222222,0.5137777777777778,0.0,-0.0515,-0.051500000000000004,-0.008680601022833245,-0.051500000000000004,-0.9800335319751019,-0.9745152835319452,-3.7696666132181043,-9.847641897982108,0.25422222222222224,0.12622222222222224,0.24266666666666667,-0.16548165363761058,-0.4320610561056106,-0.97324877751968
ds_rerank,3,1.0,0.667,1125,0.07644444444444444,0.31377777777777777,0.232,0.5128888888888888,0.6862222222222222,0.5137777777777778,0.0,-0.0515,-0.051500000000000004,-0.008680601022833245,-0.051500000000000004,-0.9800335319751019,-0.9745152835319452,-3.7696666132181043,-9.847641897982108,0.25422222222222224,0.12622222222222224,0.24266666666666667,-0.16548165363761058,-0.4320610561056106,-0.97324877751968
ds_rerank,3,1.0,0.75,1129,0.07617360496014172,0.31355181576616475,0.2320637732506643,0.5128432240921169,0.6864481842338352,0.5137289636846767,0.0,-0.0515,-0.051500000000000004,-0.008724581749100508,-0.051500000000000004,-0.9802150291782492,-0.9754134915004193,-3.8205711740520445,-9.915014266607596,0.2550930026572188,0.1266607617360496,0.24357838795394154,-0.16548165363761058,-0.4320610561056106,-0.9727066323821151
ds_rerank,3,1.0,0.8,1144,0.07604895104895106,0.3111888111888112,0.23076923076923078,0.5157342657342657,0.6888111888111889,0.5166083916083916,0.0,-0.0515,-0.051500000000000004,-0.008972534004076174,-0.051500000000000004,-0.9823018647904993,-0.9780067731372771,-3.987552479572268,-10.309613838833101,0.25874125874125875,0.1284965034965035,0.24737762237762237,-0.16468278131322986,-0.4320610561056106,-0.9779166283466931
ds_rerank,3,1.5,none,1149,0.07658833768494343,0.31505657093124456,0.23237597911227154,0.5134899912967799,0.6849434290687555,0.5143603133159269,0.0,-0.0515,-0.051500000000000004,-0.008726309737763014,-0.051500000000000004,-0.9798377144533581,-0.9754062866053004,-3.8513194752292574,-9.997859276819268,0.257615317667537,0.12706701479547433,0.24717145343777197,-0.16684099323071308,-0.4320610561056106,-0.975472176349159
ds_rerank,3,1.5,0.5,1125,0.07733333333333334,0.31555555555555553,0.2328888888888889,0.512,0.6844444444444444,0.5128888888888888,0.0,-0.0515,-0.051500000000000004,-0.008554871709683484,-0.051500000000000004,-0.9781626068450955,-0.9733341768769458,-3.700632051464492,-9.728931187053787,0.25333333333333335,0.12533333333333332,0.24266666666666667,-0.16548165363761058,-0.4320610561056106,-0.9728597634888797
ds_rerank,3,1.5,0.667,1125,0.07733333333333334,0.31555555555555553,0.2328888888888889,0.512,0.6844444444444444,0.5128888888888888,0.0,-0.0515,-0.051500000000000004,-0.008554871709683484,-0.051500000000000004,-0.9781626068450955,-0.9733341768769458,-3.700632051464492,-9.728931187053787,0.25333333333333335,0.12533333333333332,0.24266666666666667,-0.16548165363761058,-0.4320610561056106,-0.9728597634888797
ds_rerank,3,1.5,0.75,1129,0.07705934455270151,0.3153232949512843,0.2329495128432241,0.5119574844995571,0.6846767050487157,0.5128432240921169,0.0,-0.05149999999999999,-0.051500000000000004,-0.008599297889673153,-0.051500000000000004,-0.9789094599353791,-0.9742740129094587,-3.7511179368383223,-9.797115452665553,0.254207263064659,0.12577502214348982,0.24357838795394154,-0.16548165363761058,-0.4320610561056106,-0.9723097345222527
ds_rerank,3,1.5,0.8,1144,0.07692307692307693,0.3138111888111888,0.23251748251748253,0.513986013986014,0.6861888111888111,0.5148601398601399,0.0,-0.0515,-0.051500000000000004,-0.008730324393347295,-0.051500000000000004,-0.980255356226118,-0.9759157210162529,-3.86406230342363,-10.038114562374162,0.256993006993007,0.12674825174825174,0.2465034965034965,-0.16468278131322986,-0.4320610561056106,-0.9762371199294538
