krw_market,binance_market,mappable,binance_db_has,n_rows,n_rows_with_binance,coverage
KRW-SUI,BINANCE-SUIUSDT,True,True,1171,1171,1.0
KRW-SUN,BINANCE-SUNUSDT,True,True,299,299,1.0
KRW-SUPER,BINANCE-SUPERUSDT,True,True,292,292,1.0
KRW-SYRUP,BINANCE-SYRUPUSDT,True,True,358,358,1.0
KRW-T,BINANCE-TUSDT,True,True,1270,1177,0.926771653543307
KRW-TAIKO,BINANCE-TAIKOUSDT,True,False,772,0,0.0
KRW-TAO,BINANCE-TAOUSDT,True,True,152,152,1.0
KRW-TFUEL,BINANCE-TFUELUSDT,True,True,1270,1177,0.926771653543307
KRW-THETA,BINANCE-THETAUSDT,True,True,1270,1177,0.926771653543307
KRW-TIA,BINANCE-TIAUSDT,True,True,436,436,1.0
KRW-TOKAMAK,BINANCE-TOKAMAKUSDT,True,False,1270,0,0.0
KRW-TOSHI,BINANCE-TOSHIUSDT,True,False,304,0,0.0
KRW-TRAC,BINANCE-TRACUSDT,True,False,61,0,0.0
KRW-TREE,BINANCE-TREEUSDT,True,True,324,324,1.0
KRW-TRUMP,BINANCE-TRUMPUSDT,True,True,520,520,1.0
KRW-TRUST,BINANCE-TRUSTUSDT,True,False,255,0,0.0
KRW-TRX,BINANCE-TRXUSDT,True,True,1270,1177,0.926771653543307
KRW-TT,BINANCE-TTUSDT,True,False,1270,0,0.0
KRW-UNI,BINANCE-UNIUSDT,True,True,634,634,1.0
KRW-UP2,BINANCE-UP2USDT,True,False,66,0,0.0
KRW-VANA,BINANCE-VANAUSDT,True,True,578,578,1.0
KRW-VET,BINANCE-VETUSDT,True,True,1270,1177,0.926771653543307
KRW-VIRTUAL,BINANCE-VIRTUALUSDT,True,True,533,469,0.8799249530956847
KRW-VTHO,BINANCE-VTHOUSDT,True,True,543,543,1.0
KRW-VVV,BINANCE-VVVUSDT,True,False,67,0,0.0
KRW-W,BINANCE-WUSDT,True,True,654,654,1.0
KRW-WAL,BINANCE-WALUSDT,True,True,477,287,0.6016771488469602
KRW-WAVES,BINANCE-WAVESUSDT,True,False,1270,0,0.0
KRW-WAXP,BINANCE-WAXPUSDT,True,True,1270,1177,0.926771653543307
KRW-WCT,BINANCE-WCTUSDT,True,True,458,458,1.0
KRW-WET,BINANCE-WETUSDT,True,False,215,0,0.0
KRW-WIF,BINANCE-WIFUSDT,True,True,73,73,1.0
KRW-WLD,BINANCE-WLDUSDT,True,True,312,312,1.0
KRW-WLFI,BINANCE-WLFIUSDT,True,True,320,320,1.0
KRW-XAUT,BINANCE-XAUTUSDT,True,True,198,120,0.6060606060606061
KRW-XCN,BINANCE-XCNUSDT,True,False,82,0,0.0
KRW-XEC,BINANCE-XECUSDT,True,True,1270,1177,0.926771653543307
KRW-XLM,BINANCE-XLMUSDT,True,True,1270,1177,0.926771653543307
KRW-XPL,BINANCE-XPLUSDT,True,True,296,296,1.0
KRW-XRP,BINANCE-XRPUSDT,True,True,1270,1177,0.926771653543307
KRW-XTZ,BINANCE-XTZUSDT,True,True,1270,1177,0.926771653543307
KRW-YGG,BINANCE-YGGUSDT,True,True,276,276,1.0
KRW-ZAMA,BINANCE-ZAMAUSDT,True,True,95,95,1.0
KRW-ZBT,BINANCE-ZBTUSDT,True,True,274,274,1.0
KRW-ZETA,BINANCE-ZETAUSDT,True,False,806,0,0.0
KRW-ZIL,BINANCE-ZILUSDT,True,True,1270,1177,0.926771653543307
KRW-ZK,BINANCE-ZKUSDT,True,True,193,193,1.0
KRW-ZKC,BINANCE-ZKCUSDT,True,True,306,306,1.0
KRW-ZKP,BINANCE-ZKPUSDT,True,True,204,198,0.9705882352941176
KRW-ZORA,BINANCE-ZORAUSDT,True,False,274,0,0.0
KRW-ZRO,BINANCE-ZROUSDT,True,True,758,758,1.0
KRW-ZRX,BINANCE-ZRXUSDT,True,True,1270,1177,0.926771653543307
