date,coin,crowd_q,btc_regime,net_eod_d1,has_path,net_tp5_sl3,oc_tp5_sl3,net_eod15,oc_eod15,net_tp5_sl5,oc_tp5_sl5,net_tp10_sl3,oc_tp10_sl3,net_noSL_eod,oc_noSL_eod
2024-01-16,KRW-BLUR,mid,bull_volatile,0.1490882352941177,False,,,,,,,,,,
2024-01-17,KRW-BLUR,high,bull_volatile,-0.05466973415132919,False,,,,,,,,,,
2024-01-24,KRW-BLUR,high,bull_volatile,-0.024400763358778665,False,,,,,,,,,,
2024-01-27,KRW-BLUR,low,bull_volatile,-0.015044018058690763,False,,,,,,,,,,
2024-01-30,KRW-BLUR,low,bull_volatile,-0.03888420820467581,False,,,,,,,,,,
2024-02-14,KRW-BLUR,mid,bull_quiet,0.07716126625452985,False,,,,,,,,,,
2024-02-15,KRW-BLUR,mid,bull_quiet,-0.003476284584980225,False,,,,,,,,,,
2023-10-24,KRW-BORA,low,bull_quiet,0.004452380952380932,False,,,,,,,,,,
2023-11-28,KRW-BORA,mid,bull_volatile,-0.016963917525773142,False,,,,,,,,,,
2023-12-07,KRW-BORA,low,bull_volatile,0.10376315789473696,False,,,,,,,,,,
2023-12-14,KRW-BORA,low,bull_volatile,-0.027700873362445366,False,,,,,,,,,,
2024-01-17,KRW-BORA,high,bull_volatile,0.011265957446808418,False,,,,,,,,,,
2024-01-30,KRW-BORA,mid,bull_volatile,-0.022093869731800775,False,,,,,,,,,,
2023-09-15,KRW-BOUNTY,low,bear_quiet,0.023434383202099618,False,,,,,,,,,,
2023-09-21,KRW-BOUNTY,low,bear_quiet,-0.020800361881785412,False,,,,,,,,,,
2023-09-23,KRW-BOUNTY,mid,bear_quiet,0.05223831775700944,False,,,,,,,,,,
2023-09-24,KRW-BOUNTY,mid,bear_quiet,-0.0835399113082041,False,,,,,,,,,,
2023-10-16,KRW-BOUNTY,low,bear_quiet,0.006601851851851638,False,,,,,,,,,,
2023-11-03,KRW-BOUNTY,low,bull_volatile,-0.02354408817635273,False,,,,,,,,,,
2023-11-08,KRW-BOUNTY,low,bull_volatile,-0.0107592592592593,False,,,,,,,,,,
2024-01-16,KRW-BOUNTY,high,bull_volatile,-0.04215040650406505,False,,,,,,,,,,
2024-01-22,KRW-BOUNTY,low,bull_volatile,-0.08921929824561407,False,,,,,,,,,,
2023-10-03,KRW-BSV,high,bull_quiet,-0.08854566635601119,False,,,,,,,,,,
2023-10-17,KRW-BSV,mid,bull_quiet,-0.027112472160356338,False,,,,,,,,,,
2023-10-19,KRW-BSV,mid,bull_quiet,0.03990937159462399,False,,,,,,,,,,
2023-10-21,KRW-BSV,high,bull_quiet,0.00842090092505693,False,,,,,,,,,,
2023-10-24,KRW-BSV,low,bull_quiet,-0.05937825139588721,False,,,,,,,,,,
2023-10-29,KRW-BSV,low,bull_quiet,0.03500292924740883,False,,,,,,,,,,
2023-12-28,KRW-BSV,high,bull_volatile,0.19263202933985338,False,,,,,,,,,,
2023-12-29,KRW-BSV,high,bull_volatile,0.04190704340704349,False,,,,,,,,,,
2023-12-30,KRW-BSV,high,bull_volatile,-0.02073076923076928,False,,,,,,,,,,
2024-01-02,KRW-BSV,high,bull_volatile,-0.0391266280752533,False,,,,,,,,,,
2024-01-09,KRW-BSV,low,bull_volatile,-0.03677546571541817,False,,,,,,,,,,
2024-01-24,KRW-BSV,low,bull_volatile,-0.020751870324189518,False,,,,,,,,,,
2024-02-04,KRW-BSV,mid,bull_volatile,-0.036556622353520474,False,,,,,,,,,,
2023-10-30,KRW-BTT,low,bull_quiet,0.16516666666666674,False,,,,,,,,,,
2023-12-07,KRW-BTT,high,bull_volatile,-0.23226923076923076,False,,,,,,,,,,
2023-12-09,KRW-BTT,high,bull_volatile,-0.1348333333333334,False,,,,,,,,,,
2023-12-13,KRW-BTT,high,bull_volatile,-0.10150000000000009,False,,,,,,,,,,
2023-12-17,KRW-BTT,low,bull_volatile,-0.0603235294117646,False,,,,,,,,,,
2023-12-22,KRW-BTT,low,bull_volatile,0.06516666666666665,False,,,,,,,,,,
2024-01-21,KRW-BTT,low,bull_volatile,-0.07292857142857151,False,,,,,,,,,,
2024-01-28,KRW-BTT,low,bull_volatile,-0.08611538461538452,False,,,,,,,,,,
2024-02-09,KRW-BTT,high,bull_volatile,0.0063125,False,,,,,,,,,,
2024-02-16,KRW-BTT,low,bull_quiet,-0.016506821282401163,False,,,,,,,,,,
2023-09-24,KRW-CBK,mid,bear_quiet,-0.069575117370892,False,,,,,,,,,,
2023-09-29,KRW-CBK,high,bear_quiet,-0.07198458149779735,False,,,,,,,,,,
