head,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
h5_tail_20,daily+1h+15m,2,0.5,19527,522,97,7,2.6732216930404054,7.216494845360824,2.6995497096812415
h5_tail_20,daily+1h+15m,2,1.0,19527,522,195,10,2.6732216930404054,5.128205128205128,1.9183613321544355
h5_tail_20,daily+1h+15m,2,2.0,19527,522,390,21,2.6732216930404054,5.384615384615385,2.0142793987621577
h5_tail_20,daily+1h+15m,3,0.5,20200,429,101,17,2.123762376237624,16.831683168316832,7.925407925407925
h5_tail_20,daily+1h+15m,3,1.0,20200,429,202,26,2.123762376237624,12.871287128712872,6.0606060606060606
h5_tail_20,daily+1h+15m,3,2.0,20200,429,404,40,2.123762376237624,9.900990099009901,4.662004662004662
h5_tail_20,daily+all,1,0.5,17296,196,86,8,1.133209990749306,9.30232558139535,8.208827717133365
h5_tail_20,daily+all,1,1.0,17296,196,172,12,1.133209990749306,6.976744186046512,6.156620787850024
h5_tail_20,daily+all,1,2.0,17296,196,345,22,1.133209990749306,6.3768115942028984,5.627210884353741
h5_tail_20,daily+all,2,0.5,19527,522,97,7,2.6732216930404054,7.216494845360824,2.6995497096812415
h5_tail_20,daily+all,2,1.0,19527,522,195,11,2.6732216930404054,5.641025641025641,2.1101974653698794
h5_tail_20,daily+all,2,2.0,19527,522,390,27,2.6732216930404054,6.923076923076923,2.589787798408488
h5_tail_20,daily+all,3,0.5,20200,429,101,12,2.123762376237624,11.881188118811881,5.594405594405594
h5_tail_20,daily+all,3,1.0,20200,429,202,18,2.123762376237624,8.91089108910891,4.195804195804195
h5_tail_20,daily+all,3,2.0,20200,429,404,32,2.123762376237624,7.920792079207921,3.7296037296037294
h6_hit_5_24h,daily,1,0.5,17296,2926,86,37,16.917206290471785,43.02325581395349,2.543165524805672
h6_hit_5_24h,daily,1,1.0,17296,2926,172,74,16.917206290471785,43.02325581395349,2.543165524805672
h6_hit_5_24h,daily,1,2.0,17296,2926,345,136,16.917206290471785,39.42028985507247,2.330189109136478
