scope,cohort,primary,comparator,metric,n_paired_dates,delta_primary_minus_comparator,ci95_lo,ci95_hi,p_delta_gt_zero,p_preferred_direction,preferred_direction,bootstrap_draws,seed,stream_seed
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,up10_rate,170,0.15098039215686274,0.10196078431372549,0.2,1.0,1.0,higher,5000,42,6088106787409837250
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,dn5_rate,170,0.3666666666666667,0.30980392156862746,0.42156862745098034,1.0,0.0,lower,5000,42,14206901092853735849
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_net_mean,170,0.0024930022315100392,-0.002007366843934986,0.006925092232978254,0.8636,0.8636,higher,5000,42,5111484666404590615
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_sl_first,170,0.1411764705882353,0.07647058823529412,0.20784313725490194,1.0,0.0,lower,5000,42,7825050957762929773
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_safe_up10,170,0.07647058823529411,0.03529411764705882,0.11769607843137184,0.9996,0.9996,higher,5000,42,17875045955348679506
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_up10,170,0.12745098039215685,0.08039215686274509,0.17450980392156862,1.0,1.0,higher,5000,42,7740343446245167579
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_dn5,170,0.31176470588235294,0.25686274509803925,0.3666666666666667,1.0,0.0,lower,5000,42,9812257154910919667
locked_holdout,common_0915_complete_dates,safeup_pareto_rank,safeup_head,safe_up10_rate,170,-0.07254901960784314,-0.1196078431372549,-0.02745098039215687,0.0006,0.0006,higher,5000,42,12422175258743869781
locked_holdout,common_0915_complete_dates,safeup_pareto_rank,safeup_head,up10_rate,170,-0.15098039215686274,-0.20196078431372547,-0.10191176470588303,0.0,0.0,higher,5000,42,15281032580499805377
locked_holdout,common_0915_complete_dates,safeup_pareto_rank,safeup_head,dn5_rate,170,-0.3666666666666667,-0.4235294117647059,-0.31176470588235294,0.0,1.0,lower,5000,42,15058193375007324099
