strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
vol_momentum,TP5_SL3,0.15,5080,754,-0.5934852995859548,32.99212598425197,-99.56371890482922,-6.411831779661471,-99.60085748746769,-3.15
random_top100,TP5_SL3,0.2,5080,754,-0.3469592996742133,40.118110236220474,-96.70084593193964,-3.780786678831792,-96.89928604433987,-3.2
distribution_beta,TP5_SL3,0.2,5080,754,-0.5283342043997535,34.704724409448815,-99.47578471290349,-6.073134295455508,-99.51940655779649,-3.2
setup_momentum,TP5_SL3,0.2,5080,754,-0.5417484240507652,34.488188976377955,-99.50890391495582,-6.217190225511027,-99.5578268601104,-3.2
momentum_1d,TP5_SL3,0.2,5080,754,-0.5538095251002206,34.19291338582677,-99.53358342501878,-6.268902576567593,-99.57349223186272,-3.2
setup_only,TP5_SL3,0.2,5080,754,-0.5597124402053386,34.19291338582677,-99.55190789521993,-6.332985003882013,-99.59350076763506,-3.2
atr_14,TP5_SL3,0.2,5080,754,-0.6542241019558599,34.074803149606296,-99.6274941051272,-6.5818678024060695,-99.67219154696836,-3.2
vol_momentum,TP5_SL3,0.2,5080,754,-0.6434852995859549,32.93307086614173,-99.70161565815789,-6.8719900639909115,-99.72538446481042,-3.2
random_top100,TP5_SL5,0.15,5080,754,-0.21113632730920956,47.381889763779526,-92.88705809616808,-2.26953044742014,-94.00532691722614,-5.15
distribution_beta,TP5_SL5,0.15,5080,754,-0.23998602376020667,47.65748031496063,-97.7592991896789,-3.2192976560469186,-97.9486689947327,-5.15
setup_only,TP5_SL5,0.15,5080,754,-0.3052552445428733,46.94881889763779,-98.3844932777087,-3.5627700304965972,-98.53008352048441,-5.15
momentum_1d,TP5_SL5,0.15,5080,754,-0.30600779170546083,46.88976377952756,-98.43022742685285,-3.5742183237048413,-98.56289463739091,-5.15
setup_momentum,TP5_SL5,0.15,5080,754,-0.31445438226249245,46.75196850393701,-98.46233159060105,-3.5910572258415927,-98.60903208401449,-5.15
vol_momentum,TP5_SL5,0.15,5080,754,-0.4514475455159284,45.43307086614173,-99.38096449256881,-4.386538566941479,-99.4360245045927,-5.15
atr_14,TP5_SL5,0.15,5080,754,-0.5444703684028046,44.68503937007874,-99.42187013408952,-4.4425028497026675,-99.47127789588399,-5.15
random_top100,TP5_SL5,0.2,5080,754,-0.26113632730920955,46.92913385826772,-95.12869020770181,-2.630092671120146,-95.7079952520139,-5.2
distribution_beta,TP5_SL5,0.2,5080,754,-0.2899860237602067,47.539370078740156,-98.46636061199807,-3.5659622239333717,-98.59322342065319,-5.2
setup_only,TP5_SL5,0.2,5080,754,-0.3552552445428733,46.8503937007874,-98.894450947849,-3.9132300444813946,-98.99211596127371,-5.2
momentum_1d,TP5_SL5,0.2,5080,754,-0.3560077917054608,46.77165354330708,-98.92576515467826,-3.923394667746221,-99.01462597209002,-5.2
setup_momentum,TP5_SL5,0.2,5080,754,-0.36445438226249244,46.653543307086615,-98.94774590579664,-3.9400444788608655,-99.04627653425668,-5.2
vol_momentum,TP5_SL5,0.2,5080,754,-0.5014475455159284,45.295275590551185,-99.5765779775058,-4.732598342466892,-99.61348432398225,-5.2
atr_14,TP5_SL5,0.2,5080,754,-0.5944703684028046,44.37007874015748,-99.6045711174965,-4.788086344745057,-99.63283972255222,-5.2
distribution_beta,TP5_only,0.15,5080,754,0.4026788613812947,58.22834645669291,207.5575621705649,1.1758112212374041,-55.512718707288265,-19.21700325632466
setup_momentum,TP5_only,0.15,5080,754,0.35475501349603455,57.7755905511811,141.5839417389331,0.9949526486953219,-58.06172444584375,-19.21700325632466
setup_only,TP5_only,0.15,5080,754,0.34326866861111777,57.874015748031496,127.46508727494911,0.9487980435266244,-59.74737477650864,-19.21700325632466
momentum_1d,TP5_only,0.15,5080,754,0.3396305549207218,57.57874015748031,115.19827504606646,0.9050814454605086,-60.13418964874072,-19.21700325632466
vol_momentum,TP5_only,0.15,5080,754,0.2333931051248742,56.87007874015748,8.891158659433994,0.38928498167341424,-80.78872900026722,-13.755366086427994
random_top100,TP5_only,0.15,5080,754,0.029769300994953368,50.925196850393704,-57.777297338774034,-0.4361159335413415,-81.94421579670579,-14.435637357114937
atr_14,TP5_only,0.15,5080,754,-0.12075407793682223,52.02755905511811,-72.58320659932484,-0.6968734878478696,-84.82958400642516,-14.865501721102353
distribution_beta,TP5_only,0.2,5080,754,0.3526788613812947,58.07086614173228,111.00979529698516,0.8920399659882984,-58.953021460452405,-19.26700325632466
setup_momentum,TP5_only,0.2,5080,754,0.3047550134960345,57.677165354330704,65.72656703896705,0.7104978752473708,-63.86007781021684,-19.26700325632466
setup_only,TP5_only,0.2,5080,754,0.29326866861111767,57.7755905511811,56.036182141354864,0.6649797604481112,-65.99310485893564,-19.26700325632466
momentum_1d,TP5_only,0.2,5080,754,0.28963055492072176,57.460629921259844,47.61654809899145,0.624077570049382,-66.43853629989049,-19.26700325632466
vol_momentum,TP5_only,0.2,5080,754,0.18339310512487422,56.732283464566926,-25.329965784515274,0.10222599978446952,-83.66983611093734,-13.805366086427995
random_top100,TP5_only,0.2,5080,754,-0.020230699005046704,50.47244094488189,-71.05912389618108,-0.754722656288,-86.46358732935371,-14.485637357114935
atr_14,TP5_only,0.2,5080,754,-0.17075407793682232,51.653543307086615,-81.21220198164426,-0.9918834796869065,-88.90335101507891,-14.915501721102354
