pattern,split_cond,median_cut,n_hi,n_lo,net_tp_sl_hi,net_tp_sl_lo,net_tp_sl_diff,net_eod_hi,net_eod_lo,spike_dump_hi,spike_dump_lo,spike_sustain_hi,spike_sustain_lo,n_spike,abs_net_diff
mom_ret_3d,f_up_streak,2.0,10262,6780,-0.007054964512559576,-0.006800806625869488,-0.0002541578866900882,-0.0030177451666681425,-0.004059907858376125,0.12993039443155452,0.1281198003327787,0.734338747099768,0.7271214642262895,1463,0.0002541578866900882
mom_ret_3d,f_rsi_14,62.144420131289124,8492,8491,-0.006813431898580856,-0.007002712249316913,0.00018928035073605652,0.00011296726665418688,-0.006890276621964243,0.12137931034482759,0.13379310344827586,0.76,0.7062068965517241,1450,0.00018928035073605652
mom_ret_7d,f_log_qv,23.69504117632518,7950,7949,-0.012359226945137514,-0.0022107645593736035,-0.01014846238576391,-0.004693753779825843,0.001012498108926233,0.13161659513590845,0.09598853868194843,0.7339055793991416,0.7707736389684814,1397,0.01014846238576391
mom_ret_7d,f_qv_rank,34.0,7979,7920,-0.003008426888862169,-0.011594063579554642,0.008585636690692473,0.0029453340884845,-0.006662603001739729,0.08781869688385269,0.14037626628075253,0.7861189801699717,0.7178002894356006,1397,0.008585636690692473
mom_ret_7d,f_bounce_off_7d_low,0.24401473296500353,7950,7949,-0.01140100493742422,-0.0031691071133200977,-0.008231897824104122,-0.003972345487020901,0.0002909990615241321,0.15593705293276108,0.07163323782234957,0.7024320457796852,0.8022922636103151,1397,0.008231897824104122
mom_ret_7d,f_ret_7d,0.18850574712643686,7950,7949,-0.011132052725663881,-0.0034380931598032623,-0.007693959565860619,-0.003766076581141577,8.470420660645346e-05,0.1459227467811159,0.08166189111747851,0.7167381974248928,0.7879656160458453,1397,0.007693959565860619
mom_ret_7d,f_rv_21d,0.04886761955176234,7927,7926,-0.01094271793433785,-0.0035965838748924393,-0.00734613405944541,-0.005514078891253109,0.0018304496913890045,0.14820143884892087,0.08069164265129683,0.7007194244604317,0.8025936599423631,1389,0.00734613405944541
mom_ret_7d,f_atr_pct_14,0.07771151178918163,7950,7949,-0.01072152821361744,-0.0038486693166493073,-0.006872858896968133,-0.00330384510267933,-0.00037758542149454825,0.11874105865522175,0.10888252148997135,0.7381974248927039,0.7664756446991404,1397,0.006872858896968133
mom_ret_7d,f_dist_from_20d_high,-0.0755901995260348,7848,7848,-0.003817239550222542,-0.010514245137171986,0.006697005586949444,0.0022265004321122173,-0.005769119216239177,0.1067251461988304,0.12298682284040996,0.7763157894736842,0.7291361639824304,1367,0.006697005586949444
mom_ret_7d,f_ret_3d,0.08091079915994248,7950,7949,-0.010188920558891191,-0.004381343974477172,-0.005807576584414019,-0.003152344844412542,-0.000529104738794958,0.1630901287553648,0.06446991404011461,0.6852646638054364,0.8194842406876791,1397,0.005807576584414019
mom_ret_7d,f_qv_surge_30d,1.5633868876810189,7762,7762,-0.009833807231673644,-0.004446883609587306,-0.005386923622086337,-0.0024829832562136994,-0.0009106618510577432,0.1485884101040119,0.08035714285714286,0.7087667161961367,0.7976190476190477,1345,0.005386923622086337
mom_ret_7d,f_qv_surge_7d,1.0830275036591706,7950,7949,-0.009551975872975285,-0.005018368789300602,-0.004533607083674683,-0.003622587906177938,-5.880251951770464e-05,0.14878397711015737,0.07879656160458452,0.7052932761087267,0.7994269340974212,1397,0.004533607083674683
mom_ret_7d,f_pos_in_20d_range,0.7790979338745174,7848,7848,-0.005001980307300562,-0.009329504380093966,0.004327524072793403,0.0016493358257364166,-0.005191954609863377,0.11403508771929824,0.11566617862371889,0.7646198830409356,0.7408491947291361,1367,0.004327524072793403
mom_ret_7d,f_dist_from_60d_high,-0.14414893617022184,7511,7510,-0.00559767200742758,-0.00841702026241983,0.0028193482549922497,0.0027660874791027245,-0.005753043617839018,0.09846153846153846,0.12923076923076923,0.7846153846153846,0.7246153846153847,1300,0.0028193482549922497
mom_ret_7d,f_ret_14d,0.20672921384665166,7894,7893,-0.008333371696835597,-0.006100483673239113,-0.002232888023596484,-0.0002650860725113778,-0.003321584629271558,0.12283236994219653,0.10740203193033382,0.7543352601156069,0.7503628447024674,1381,0.002232888023596484
mom_ret_7d,f_rsi_14,69.2883895131086,7950,7949,-0.006368226126002908,-0.008202519058319396,0.0018342929323164883,0.0008718657783476563,-0.0045538216152503095,0.12160228898426323,0.10601719197707736,0.7668097281831188,0.7378223495702005,1397,0.0018342929323164883
mom_ret_7d,f_up_streak,1.0,10951,4948,-0.006792392464876369,-0.00837625946108385,0.0015838669962074817,-0.0012799535371164636,-0.0030820986048501297,0.124634858812074,0.08378378378378379,0.7370983446932814,0.7945945945945946,1397,0.0015838669962074817
qv_surge_30d,f_log_qv,23.844103414264772,7653,7652,-0.012323325581074166,-0.0009523267190718434,-0.011370998862002322,-0.006042294399631956,0.0009326099875569917,0.1370056497175141,0.09745762711864407,0.7288135593220338,0.7288135593220338,1416,0.011370998862002322
qv_surge_30d,f_qv_rank,24.0,7843,7462,-0.001298785832948169,-0.01225023283817822,0.01095144700523005,0.003443540323768191,-0.008859961695914123,0.08567415730337079,0.14914772727272727,0.7415730337078652,0.7159090909090909,1416,0.01095144700523005
qv_surge_30d,f_rv_21d,0.04082886442239509,7653,7652,-0.011600359779379286,-0.001675387001399461,-0.009924972777979825,-0.006041194906379017,0.0009315103506170095,0.15677966101694915,0.07768361581920905,0.7076271186440678,0.75,1416,0.009924972777979825
