market,date,pump_prob,raw_score,regime,f_qv_surge_7d,f_qv_surge_30d,f_ret_3d,f_ret_7d,f_bounce_off_7d_low,f_atr_pct_14,f_rv_7d,f_qv_rank
KRW-BCH,2026-07-26,0.0012592475995592634,0.103558098370428,bear_quiet,0.45404938885906626,0.26308976626237873,-0.04510108864696738,-0.05451185709886053,0.01253298153034299,0.04073987901349465,0.019819144692147368,83.0
KRW-ETC,2026-07-26,0.0012592475995592634,0.1168139905038161,bear_quiet,0.807330090390323,0.892498158173605,-0.03543307086614178,-0.0531400966183575,0.02779234399580477,0.03083090379008746,0.019142209771688058,57.0
KRW-BTC,2026-07-26,0.0012592475995592634,0.08203008409746136,bear_quiet,0.4908875717103179,0.38993291902683874,-0.024161894010791607,-0.013206262763784893,0.009049143811777904,0.021281353855857166,0.011635313510792536,3.0
KRW-AXS,2026-07-26,0.0012592475995592634,0.10144843073784261,bear_quiet,0.8338649068766107,0.44093786987744105,-0.03189910979228483,-0.05228758169934644,0.019531249999999334,0.03284072249589488,0.008218283513046801,91.0
KRW-POL,2026-07-26,0.0012592475995592634,0.12548793444570916,bear_quiet,0.7446322673952858,0.6449698233762651,-0.025862068965517238,-0.050420168067226934,0.02727272727271801,0.03476611883691499,0.013816490982797427,93.0
KRW-HBAR,2026-07-26,0.0012592475995592634,0.12536247204776477,bear_quiet,0.5207671802337742,0.4587165331491196,-0.028037383177570097,0.051567239635995854,0.08333333333332216,0.03523351648351616,0.028893884050081697,50.0
KRW-MOVE,2026-07-26,0.0012592475995592634,0.13884483926384525,bear_quiet,1.118986276070528,0.7579043676533519,-0.08280254777070062,-0.09433962264150941,0.021276595744608384,0.043650793650790644,0.01797101406143984,54.0
KRW-ETH,2026-07-26,0.0012592475995592634,0.10079385167515464,bear_quiet,0.3882804332034868,0.33783542462009925,-0.029016277423920767,0.0003645643456069436,0.015168331483536912,0.03066430653894211,0.01368317996055791,6.0
KRW-LINK,2026-07-26,0.0012592475995592634,0.13489168960172096,bear_quiet,0.6612463291374787,0.6880957534456676,-0.024603174603174627,0.0,0.015702479338842723,0.031616877833313954,0.012385436603644167,42.0
KRW-TRX,2026-07-26,0.0012592475995592634,0.13833406442785093,bear_quiet,1.1587428829356374,1.03969199902995,0.01039501039501034,0.012499999999999956,0.023157894736839824,0.013815402704291564,0.005945934702013948,39.0
KRW-TAO,2026-07-26,0.0012592475995592634,0.13757368583520618,bear_quiet,0.7427001696507132,0.5205714908950799,-0.027700831024930705,-0.02837370242214532,0.027442371020856227,0.041157916157916155,0.01964480625482029,70.0
KRW-SUI,2026-07-26,0.0012592475995592634,0.10154000560569527,bear_quiet,0.6948262756086959,0.6268568406596086,-0.0662488809310654,-0.046617915904936025,0.015579357351508394,0.03684426790850565,0.0210603760016523,23.0
KRW-SOL,2026-07-26,0.0012592475995592634,0.07265438589673988,bear_quiet,0.5238826922836878,0.30472424760826106,-0.041300527240773266,-0.019766397124887702,0.014883720930232602,0.02874165248134084,0.015494290706163018,17.0
KRW-SEI,2026-07-26,0.0012592475995592634,0.117078646848248,bear_quiet,0.9335624125718157,0.7682788997737288,-0.03539823008849541,-0.05354558610709104,0.0266875981161534,0.033639143730886334,0.014488857379645313,51.0
KRW-SAND,2026-07-26,0.0012592475995592634,0.10783000678906812,bear_quiet,0.6889788776285157,0.4391302526119755,-0.05293276108726752,-0.05563480741797422,0.024767801857569438,0.03549848942598139,0.01979612200887893,78.0
KRW-XRP,2026-07-26,0.0012592475995592634,0.07831813654106044,bear_quiet,0.512421281665337,0.3730019671157572,-0.036570743405275774,-0.0012430080795524656,0.011327879169288346,0.02755800515601385,0.01733055626128747,4.0
