n,n_days,top3_coverage,avg_picks_per_day,replacement_rate_vs_r1,candidate_veto_rate,fallback_pick_rate,net_mean,daily_net_mean,hit_rate,sl_first_rate,tp_first_rate,mfe10_rate,mfe20_rate,dn5_rate,safe_up10_rate,eod_deep_loss_rate,mfe_mean,mae_mean,cvar95,cum_net,max_drawdown,sharpe_sqrt365,cohort,policy,fold
399,133,1.0,3.0,0.040100250626566414,0.14729323308270678,0.0,-0.007029413112663771,-0.007029413112663769,0.3283208020050125,0.5964912280701754,0.22807017543859648,0.16791979949874686,0.06015037593984962,0.3483709273182957,0.15288220551378445,0.18045112781954886,0.06067011016308364,-0.04642051085490813,-0.03149999999999999,-0.6216016784560918,-0.6157855540339414,-5.968047266460489,d1_conservative_all_oos,veto_train_cal50,2
399,133,1.0,3.0,0.8847117794486216,0.0,0.0,-0.0037114389708365362,-0.0037114389708365362,0.40100250626566414,0.24060150375939848,0.06516290726817042,0.020050125313283207,0.010025062656641603,0.08521303258145363,0.017543859649122806,0.02756892230576441,0.022695591877344216,-0.021333767105034075,-0.03149999999999999,-0.4005888495335068,-0.4505465083419532,-4.3960255376590665,d1_conservative_all_oos,lexicographic_risk_first,2
402,134,1.0,3.0,0.0,0.0,0.0,-0.00833930119865204,-0.00833930119865204,0.3333333333333333,0.5597014925373134,0.16417910447761194,0.1044776119402985,0.029850746268656716,0.2835820895522388,0.0845771144278607,0.12686567164179105,0.04334528335615924,-0.04255117063643806,-0.03149999999999999,-0.6832390345060568,-0.676509802431883,-7.8822391669339025,d1_conservative_all_oos,R1_baseline,3
402,134,1.0,3.0,0.43781094527363185,0.33,0.0,-0.0039849017533142295,-0.0039849017533142295,0.41044776119402987,0.4601990049751244,0.1791044776119403,0.0945273631840796,0.024875621890547265,0.22388059701492538,0.07711442786069651,0.10696517412935323,0.04226086005477576,-0.03556001872286029,-0.03149999999999999,-0.43314619307036906,-0.44320112700784703,-3.44504737585939,d1_conservative_all_oos,veto_within_day_top_third,3
402,134,1.0,3.0,0.01741293532338306,0.08507462686567165,0.0,-0.007664151307084237,-0.007664151307084236,0.3407960199004975,0.5522388059701493,0.17412935323383086,0.1044776119402985,0.029850746268656716,0.27860696517412936,0.08706467661691543,0.12437810945273632,0.04375825558029406,-0.04198758668499399,-0.03149999999999999,-0.6531914990095729,-0.6458239406842541,-7.167032483703616,d1_conservative_all_oos,veto_train_cal50,3
402,134,1.0,3.0,0.8233830845771144,0.0,0.0,-0.0019610033277777912,-0.001961003327777791,0.44776119402985076,0.1890547263681592,0.05970149253731343,0.014925373134328358,0.004975124378109453,0.03980099502487562,0.014925373134328358,0.014925373134328358,0.01890831481399358,-0.017506549286629616,-0.03149999999999999,-0.24642976347752044,-0.27602864113214953,-2.168585538324535,d1_conservative_all_oos,lexicographic_risk_first,3
399,133,1.0,3.0,0.0,0.0,0.0,-0.010734385302580408,-0.010734385302580406,0.2807017543859649,0.6741854636591479,0.20050125313283207,0.17794486215538846,0.07518796992481203,0.43358395989974935,0.14536340852130325,0.19298245614035087,0.0675308296219038,-0.05082090579638998,-0.03149999999999999,-0.7696509805602533,-0.7633046856750408,-9.243254796950563,d1_conservative_all_oos,R1_baseline,4
399,133,1.0,3.0,0.33333333333333337,0.33,0.0,-0.010247350119886138,-0.01024735011988614,0.2932330827067669,0.6516290726817042,0.19298245614035087,0.14035087719298245,0.06516290726817042,0.38847117794486213,0.12531328320802004,0.16040100250626566,0.0602407172327124,-0.04728580244608974,-0.03149999999999999,-0.7542352828048426,-0.7538127224228759,-8.729640878801957,d1_conservative_all_oos,veto_within_day_top_third,4
399,133,1.0,3.0,0.0025062656641604564,0.13729323308270677,0.0,-0.010533884049447575,-0.010533884049447573,0.2832080200501253,0.6716791979949874,0.20300751879699247,0.17543859649122806,0.07268170426065163,0.43107769423558895,0.14536340852130325,0.19298245614035087,0.06596566679327498,-0.050611470510138035,-0.03149999999999999,-0.7633085535923717,-0.7567875199046066,-9.098775968691145,d1_conservative_all_oos,veto_train_cal50,4
399,133,1.0,3.0,0.9348370927318296,0.0,0.0,-0.0031798169482482016,-0.0031798169482482007,0.39598997493734334,0.21052631578947367,0.07769423558897243,0.017543859649122806,0.002506265664160401,0.08521303258145363,0.017543859649122806,0.045112781954887216,0.0204743211765225,-0.02031758668870481,-0.03149999999999999,-0.3566778156872147,-0.36199492597264327,-3.7324385833589906,d1_conservative_all_oos,lexicographic_risk_first,4
