head,regime,liq,topK_pct,n_sub,base_rate_pct,n_top,precision_pct,lift,active_days,total_days,active_pct_of_period,avg_fail_eod_pct,worst5_fail_eod_pct
h2_hit_3_4h,bear_all,top100,1.0,13200,17.984848484848484,132,50.0,2.780117944397641,71,132,53.78787878787878,-3.4799277193521694,-11.39193511355954
h2_hit_3_4h,bear_all,top100,2.0,13200,17.984848484848484,264,50.75757575757576,2.8222409435551814,100,132,75.75757575757575,-2.114011025122778,-9.429959758121566
h2_hit_3_4h,bear_all,top50,0.1,6600,21.09090909090909,6,83.33333333333334,3.9511494252873565,6,132,4.545454545454546,-15.71389119027894,
h2_hit_3_4h,bear_all,top50,0.5,6600,21.09090909090909,33,54.54545454545454,2.5862068965517238,23,132,17.424242424242426,-5.833184185944956,
h2_hit_3_4h,bear_all,top50,1.0,6600,21.09090909090909,66,53.03030303030303,2.514367816091954,39,132,29.545454545454547,-4.941525229634225,-13.755548130076095
h2_hit_3_4h,bear_all,top50,2.0,6600,21.09090909090909,132,50.75757575757576,2.406609195402299,69,132,52.27272727272727,-3.29724256948132,-11.47298910482228
h3_eod_3_24h,all,all,0.1,105656,15.194593776027865,105,7.6190476190476195,0.501431478284599,4,780,0.5128205128205128,-0.555844120688477,-4.01860195387429
h3_eod_3_24h,all,all,0.5,105656,15.194593776027865,528,12.68939393939394,0.8351255799555288,26,780,3.3333333333333335,0.43066986757643866,-3.7668517049960326
h3_eod_3_24h,all,all,1.0,105656,15.194593776027865,1056,16.666666666666664,1.09688135874756,62,780,7.948717948717948,-0.11302620912949449,-4.827327067317042
h3_eod_3_24h,all,all,2.0,105656,15.194593776027865,2113,19.92427827733081,1.311274165734187,126,780,16.153846153846153,-0.5189766708048235,-5.593939391929729
h3_eod_3_24h,all,top100,0.1,78000,15.644871794871795,78,12.82051282051282,0.819470621978202,3,780,0.38461538461538464,-0.6529449217051764,-4.43371325587562
h3_eod_3_24h,all,top100,0.5,78000,15.644871794871795,390,12.82051282051282,0.819470621978202,23,780,2.9487179487179485,0.5236722489168957,-3.7633628610000094
h3_eod_3_24h,all,top100,1.0,78000,15.644871794871795,780,17.17948717948718,1.0980906334507907,54,780,6.923076923076923,-0.05324114552525891,-4.76391501104659
h3_eod_3_24h,all,top100,2.0,78000,15.644871794871795,1560,18.78205128205128,1.200524461198066,114,780,14.615384615384617,-0.5465421522517688,-5.656814984844124
h3_eod_3_24h,all,top50,0.1,39000,15.512820512820513,39,17.94871794871795,1.1570247933884297,4,780,0.5128205128205128,-0.23126643138183453,-4.239691901193585
h3_eod_3_24h,all,top50,0.5,39000,15.512820512820513,195,15.897435897435896,1.024793388429752,24,780,3.076923076923077,0.21611971026895826,-4.501048048524496
h3_eod_3_24h,all,top50,1.0,39000,15.512820512820513,390,17.435897435897434,1.1239669421487601,52,780,6.666666666666667,-0.28948048191800896,-4.978539915870541
h3_eod_3_24h,all,top50,2.0,39000,15.512820512820513,780,17.564102564102562,1.1322314049586775,108,780,13.846153846153847,-0.7568352879365011,-5.8147382834299375
h3_eod_3_24h,bull_all,all,0.1,89170,14.822249635527642,89,4.49438202247191,0.3032186161336311,2,648,0.30864197530864196,-1.2767141977810366,-4.23740910915823
h3_eod_3_24h,bull_all,all,0.5,89170,14.822249635527642,445,16.629213483146067,1.1219088796944352,24,648,3.7037037037037033,-0.9542533548587788,-4.883591772958096
