feature,market,date,first,touched_tp,touched_sl,both_touched,tp_bar,sl_bar,ambiguous_bar,intraday_max,intraday_min,eod_ret,n_bars,net_hard_sl_path,net_tp_eod_noSL,net_timestop_4h,net_eod_tpcap,net_trailing_3pct
f_atr_xs_decile,KRW-KERNEL,2026-05-03,none,False,False,False,,,,0.024691358024691246,-0.0092592592592593,-0.004115226337448652,75,-0.0056152263374486516,-0.0056152263374486516,0.004672839506172867,-0.0056152263374486516,-0.0056152263374486516
f_atr_xs_decile,KRW-MET2,2026-05-03,none,False,False,False,,,,0.06995884773662553,-0.028806584362139898,-0.008230452674897082,89,-0.009730452674897081,-0.009730452674897081,-0.017960905349794276,-0.009730452674897081,0.03636008230452675
f_atr_xs_decile,KRW-MON,2026-05-03,none,False,False,False,,,,0.015659955257270708,-0.03803131991051456,-0.03579418344519014,93,-0.03729418344519014,-0.03729418344519014,0.007448545861297453,-0.03729418344519014,-0.03729418344519014
f_atr_xs_decile,KRW-OPEN,2026-05-03,sl,False,True,False,,25.0,,0.02144772117962468,-0.14745308310991956,-0.13404825737265413,96,-0.051500000000000004,-0.13554825737265414,-0.014904825737265424,-0.13554825737265414,-0.051500000000000004
f_atr_xs_decile,KRW-ORCA,2026-05-03,none,False,False,False,,,,0.048788368336025956,-0.041357027463651,-0.03392568659127626,96,-0.03542568659127626,-0.03542568659127626,0.016270597738287595,-0.03542568659127626,0.015824717285944978
f_atr_xs_decile,KRW-PLUME,2026-05-03,none,False,False,False,,,,0.0,-0.039999999999999925,-0.034285714285714364,75,-0.035785714285714365,-0.035785714285714365,-0.0015,-0.035785714285714365,-0.035785714285714365
f_atr_xs_decile,KRW-SAFE,2026-05-03,none,False,False,False,,,,0.08173076923076916,-0.004807692307692291,0.024038461538461453,90,0.02253846153846145,0.02253846153846145,0.012923076923076872,0.02253846153846145,0.03845192307692319
f_atr_xs_decile,KRW-SKR,2026-05-03,none,False,False,False,,,,0.01673640167364021,-0.008368200836820106,-0.004184100418409997,78,-0.005684100418409997,-0.005684100418409997,-0.0015,-0.005684100418409997,-0.005684100418409997
f_atr_xs_decile,KRW-TREE,2026-05-03,none,False,False,False,,,,0.05769230769230771,-0.038461538461538436,-0.009615384615384581,92,-0.01111538461538458,-0.01111538461538458,0.008115384615384582,-0.01111538461538458,0.02446153846153859
f_atr_xs_decile,KRW-ZBT,2026-05-03,sl,False,True,False,,9.0,,0.01718213058419238,-0.08247422680412375,-0.037800687285223344,96,-0.051500000000000004,-0.039300687285223346,-0.051500000000000004,-0.039300687285223346,-0.051500000000000004
f_atr_xs_decile,KRW-ZKP,2026-05-03,sl,False,True,False,,64.0,,0.0,-0.054263565891472854,-0.046511627906976716,90,-0.051500000000000004,-0.04801162790697672,-0.024755813953488415,-0.04801162790697672,-0.051500000000000004
f_atr_xs_decile,KRW-API3,2026-05-04,sl,False,True,False,,82.0,,0.03169014084507049,-0.051056338028169,-0.04401408450704225,95,-0.051500000000000004,-0.04551408450704225,-0.027908450704225374,-0.04551408450704225,-0.0007605633802817966
f_atr_xs_decile,KRW-AXL,2026-05-04,tp,True,False,False,5.0,,,0.2710280373831775,-0.01869158878504673,0.14018691588785037,96,0.0985,0.0985,0.0985,0.0985,0.0985
f_atr_xs_decile,KRW-AXS,2026-05-04,none,False,False,False,,,,0.011201629327902252,-0.023421588594704668,-0.0045824847250509615,96,-0.006082484725050961,-0.006082484725050961,-0.0025183299389001644,-0.006082484725050961,-0.006082484725050961
f_atr_xs_decile,KRW-BIO,2026-05-04,sl,False,True,False,,40.0,,0.07238307349665929,-0.09576837416481065,-0.09242761692650336,96,-0.051500000000000004,-0.09392761692650337,-0.023771714922049048,-0.09392761692650337,0.011707126948775017
f_atr_xs_decile,KRW-BIRB,2026-05-04,none,False,False,False,,,,0.014634146341463428,-0.019512195121951237,-0.014634146341463428,90,-0.01613414634146343,-0.01613414634146343,-0.006378048780487809,-0.01613414634146343,-0.01613414634146343
f_atr_xs_decile,KRW-BLUR,2026-05-04,none,False,False,False,,,,0.05655526992287929,-0.010282776349614386,0.033419023136247006,92,0.031919023136247004,0.031919023136247004,0.021636246786632285,0.031919023136247004,0.000916452442159489
f_atr_xs_decile,KRW-CFG,2026-05-04,none,False,False,False,,,,0.0915032679738561,-0.006535947712418277,0.03921568627450989,96,0.037715686274509885,0.037715686274509885,0.040983660130719024,0.037715686274509885,0.04774836601307181
f_atr_xs_decile,KRW-CHZ,2026-05-04,none,False,False,False,,,,0.021739130434782705,-0.026755852842809236,-0.011705685618728978,96,-0.013205685618728978,-0.013205685618728978,0.013550167224080369,-0.013205685618728978,-0.013205685618728978
f_atr_xs_decile,KRW-CPOOL,2026-05-04,sl,False,True,False,,1.0,,0.0,-0.10675381263616557,-0.06753812636165579,96,-0.051500000000000004,-0.0690381263616558,-0.051500000000000004,-0.0690381263616558,-0.051500000000000004
f_atr_xs_decile,KRW-DRIFT,2026-05-04,none,False,False,False,,,,0.04563233376792697,-0.04041720990873543,-0.010430247718383301,96,-0.0119302477183833,-0.0119302477183833,-0.021056714471968718,-0.0119302477183833,-0.001147979139504761
f_atr_xs_decile,KRW-ENSO,2026-05-04,none,False,False,False,,,,0.03680113234253368,-0.02972399150743099,0.014861995753715496,96,0.013361995753715496,0.013361995753715496,-0.00999256900212314,0.013361995753715496,0.013361995753715496
f_atr_xs_decile,KRW-FLUID,2026-05-04,none,False,False,False,,,,0.04274227676682174,-0.021159542953872235,0.012695725772323252,93,0.011195725772323252,0.011195725772323252,0.0018855268726195042,0.011195725772323252,0.009960008463817229
f_atr_xs_decile,KRW-HYPER,2026-05-04,none,False,False,False,,,,0.07954545454545459,-0.011363636363636354,0.045454545454545414,96,0.04395454545454541,0.04395454545454541,0.009863636363636465,0.04395454545454541,0.04565909090909087
f_atr_xs_decile,KRW-KERNEL,2026-05-04,tp,True,False,False,38.0,,,0.15822130299896586,-0.005170630816959676,0.033092037228541926,92,0.0985,0.0985,0.015046018614270964,0.0985,0.031695449844880985
f_atr_xs_decile,KRW-MET2,2026-05-04,none,False,False,False,,,,0.053941908713692976,-0.008298755186721962,0.03319502074688807,87,0.03169502074688807,0.03169502074688807,0.027545643153526866,0.03169502074688807,0.012773858921161731
f_atr_xs_decile,KRW-MON,2026-05-04,none,False,False,False,,,,0.07192575406032486,-0.01392111368909521,0.0139211136890951,89,0.0124211136890951,0.0124211136890951,0.061145011600928056,0.0124211136890951,0.03826798143851501
f_atr_xs_decile,KRW-OPEN,2026-05-04,sl,False,True,False,,21.0,,0.05263157894736836,-0.08978328173374617,-0.08668730650154799,96,-0.051500000000000004,-0.08818730650154799,-0.03555572755417952,-0.08818730650154799,0.019552631578947433
f_atr_xs_decile,KRW-ORCA,2026-05-04,sl,False,True,False,,35.0,,0.01772575250836117,-0.10668896321070231,-0.1040133779264214,96,-0.051500000000000004,-0.1055133779264214,-0.009526755852842848,-0.1055133779264214,-0.051500000000000004
f_atr_xs_decile,KRW-PLUME,2026-05-04,none,False,False,False,,,,0.07692307692307687,-0.005917159763313529,0.029585798816567976,91,0.028085798816567975,0.028085798816567975,0.045837278106508894,0.028085798816567975,0.04311538461538472
f_atr_xs_decile,KRW-SAFE,2026-05-04,none,False,False,False,,,,0.018779342723004744,-0.032863849765258246,-0.018779342723004744,85,-0.020279342723004745,-0.020279342723004745,-0.015584507042253502,-0.020279342723004745,-0.020279342723004745
f_atr_xs_decile,KRW-SKR,2026-05-04,none,False,False,False,,,,0.037815126050420034,-0.004201680672269004,0.004201680672268893,85,0.0027016806722688926,0.0027016806722688926,0.011105042016806678,0.0027016806722688926,0.005180672268907451
f_atr_xs_decile,KRW-ZBT,2026-05-04,tp,True,False,False,42.0,,,0.18928571428571428,-0.03928571428571426,0.07499999999999996,96,0.0985,0.0985,-0.026500000000000024,0.0985,0.06203571428571425
f_atr_xs_decile,KRW-ZKP,2026-05-04,none,False,False,False,,,,0.05691056910569103,-0.016260162601625994,0.03252032520325199,95,0.031020325203251986,0.031020325203251986,0.022890243902439045,0.031020325203251986,0.023703252032520272
f_atr_xs_decile,KRW-API3,2026-05-05,none,False,False,False,,,,0.035055350553505615,-0.009225092250922495,0.03321033210332103,93,0.031710332103321026,0.031710332103321026,0.0021900369003689537,0.031710332103321026,0.031710332103321026
f_atr_xs_decile,KRW-AXL,2026-05-05,sl,False,True,False,,1.0,,0.016393442622950838,-0.07377049180327866,-0.024590163934426257,96,-0.051500000000000004,-0.026090163934426258,-0.051500000000000004,-0.026090163934426258,-0.051500000000000004
f_atr_xs_decile,KRW-AXS,2026-05-05,none,False,False,False,,,,0.04501278772378514,-0.004092071611253245,0.026598465473145705,96,0.025098465473145704,0.025098465473145704,0.01128772378516635,0.025098465473145704,0.025098465473145704
f_atr_xs_decile,KRW-BIO,2026-05-05,sl,False,True,False,,59.0,,0.04534313725490202,-0.07965686274509809,-0.06985294117647045,96,-0.051500000000000004,-0.07135294117647045,-0.014980392156862697,-0.07135294117647045,0.012482843137255064
f_atr_xs_decile,KRW-BIRB,2026-05-05,none,False,False,False,,,,0.054455445544554504,-0.02970297029702973,-0.00990099009900991,92,-0.01140099009900991,-0.01140099009900991,-0.01140099009900991,-0.01140099009900991,0.02132178217821773
f_atr_xs_decile,KRW-BLUR,2026-05-05,none,False,False,False,,,,0.05459057071960305,-0.02481389578163773,0.007444168734491496,96,0.005944168734491497,0.005944168734491497,-0.013906947890818864,0.005944168734491497,0.02145285359801502
f_atr_xs_decile,KRW-CFG,2026-05-05,tp,True,False,False,50.0,,,0.2507836990595611,-0.01567398119122254,0.10031347962382453,96,0.0985,0.0985,0.03298275862068972,0.0985,0.0985
f_atr_xs_decile,KRW-CPOOL,2026-05-05,sl,False,True,False,,2.0,,0.004683840749414525,-0.06791569086651061,-0.02810304449648715,96,-0.051500000000000004,-0.029603044496487152,-0.051500000000000004,-0.029603044496487152,-0.051500000000000004
f_atr_xs_decile,KRW-DRIFT,2026-05-05,none,False,False,False,,,,0.005270092226613787,-0.031620553359683834,-0.01449275362318847,95,-0.01599275362318847,-0.01599275362318847,-0.01072266139657446,-0.01599275362318847,-0.01599275362318847
f_atr_xs_decile,KRW-ENSO,2026-05-05,none,False,False,False,,,,0.06694560669456062,-0.04114365411436538,-0.03905160390516038,96,-0.04055160390516038,-0.04055160390516038,-0.006381450488145033,-0.04055160390516038,0.033437238493723875
f_atr_xs_decile,KRW-FLUID,2026-05-05,none,False,False,False,,,,0.028368794326241176,-0.007926574885273263,0.01168126825198157,83,0.01018126825198157,0.01018126825198157,0.009346891948268711,0.01018126825198157,0.01018126825198157
f_atr_xs_decile,KRW-HYPER,2026-05-05,tp,True,True,True,0.0,,,0.1902173913043479,-0.10869565217391308,-0.09782608695652173,96,0.0985,0.0985,0.0985,0.0985,0.0985
f_atr_xs_decile,KRW-MASK,2026-05-05,none,False,False,False,,,,0.015151515151515138,-0.008264462809917328,0.005509641873278293,91,0.004009641873278293,0.004009641873278293,0.006764462809917328,0.004009641873278293,0.004009641873278293
f_atr_xs_decile,KRW-MET2,2026-05-05,none,False,False,False,,,,0.02016129032258074,-0.012096774193548376,0.0,78,-0.0015,-0.0015,0.0025322580645162364,-0.0015,-0.0015
f_atr_xs_decile,KRW-OPEN,2026-05-05,none,False,False,False,,,,0.061224489795918435,-0.010204081632653073,0.04081632653061229,96,0.03931632653061229,0.03931632653061229,0.005302721088435382,0.03931632653061229,0.027887755102040723
