target,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
first15_t20,prev_daily,3,1.0,17264,46,172,0,0.26645041705282674,0.0,0.0
first15_t20,prev_daily,3,2.0,17264,46,345,2,0.26645041705282674,0.5797101449275363,2.175677378701953
first15_t20,prev_daily,3,5.0,17264,46,863,5,0.26645041705282674,0.5793742757821553,2.174416847196332
first15_t20,preopen_15m,1,0.5,16655,8,83,1,0.048033623536475535,1.2048192771084338,25.082831325301207
first15_t20,preopen_15m,1,1.0,16655,8,166,1,0.048033623536475535,0.6024096385542169,12.541415662650603
first15_t20,preopen_15m,1,2.0,16655,8,333,2,0.048033623536475535,0.6006006006006006,12.503753753753752
first15_t20,preopen_15m,1,5.0,16655,8,832,3,0.048033623536475535,0.3605769230769231,7.5067608173076925
first15_t20,preopen_15m,2,0.5,18056,52,90,2,0.28799291094373064,2.2222222222222223,7.716239316239316
first15_t20,preopen_15m,2,1.0,18056,52,180,2,0.28799291094373064,1.1111111111111112,3.858119658119658
first15_t20,preopen_15m,2,2.0,18056,52,361,2,0.28799291094373064,0.554016620498615,1.9237161730236523
first15_t20,preopen_15m,2,5.0,18056,52,902,6,0.28799291094373064,0.6651884700665188,2.3097390414463583
first15_t20,preopen_15m,3,0.5,17264,46,86,0,0.26645041705282674,0.0,0.0
first15_t20,preopen_15m,3,1.0,17264,46,172,3,0.26645041705282674,1.744186046511628,6.5460060667340745
first15_t20,preopen_15m,3,2.0,17264,46,345,4,0.26645041705282674,1.1594202898550725,4.351354757403906
first15_t20,preopen_15m,3,5.0,17264,46,863,8,0.26645041705282674,0.9269988412514484,3.4790669555141314
first15_t20,prev_daily+preopen_15m,1,0.5,16655,8,83,1,0.048033623536475535,1.2048192771084338,25.082831325301207
first15_t20,prev_daily+preopen_15m,1,1.0,16655,8,166,1,0.048033623536475535,0.6024096385542169,12.541415662650603
first15_t20,prev_daily+preopen_15m,1,2.0,16655,8,333,1,0.048033623536475535,0.3003003003003003,6.251876876876876
first15_t20,prev_daily+preopen_15m,1,5.0,16655,8,832,2,0.048033623536475535,0.2403846153846154,5.004507211538462
first15_t20,prev_daily+preopen_15m,2,0.5,18056,52,90,0,0.28799291094373064,0.0,0.0
first15_t20,prev_daily+preopen_15m,2,1.0,18056,52,180,1,0.28799291094373064,0.5555555555555556,1.929059829059829
first15_t20,prev_daily+preopen_15m,2,2.0,18056,52,361,2,0.28799291094373064,0.554016620498615,1.9237161730236523
first15_t20,prev_daily+preopen_15m,2,5.0,18056,52,902,4,0.28799291094373064,0.4434589800443459,1.5398260276309057
first15_t20,prev_daily+preopen_15m,3,0.5,17264,46,86,0,0.26645041705282674,0.0,0.0
first15_t20,prev_daily+preopen_15m,3,1.0,17264,46,172,1,0.26645041705282674,0.5813953488372093,2.182002022244691
first15_t20,prev_daily+preopen_15m,3,2.0,17264,46,345,6,0.26645041705282674,1.7391304347826086,6.52703213610586
first15_t20,prev_daily+preopen_15m,3,5.0,17264,46,863,9,0.26645041705282674,1.0428736964078795,3.913950324953398
