head,fold,leaf,rule,depth,support_train,support_val,support_val_top100,pos_train_pct,pos_val_pct,pos_val_top100_pct,base_val_pct,lift_val,lift_val_top100,fail_eod_val_pct
h5_tail_20,3,11,roc_7d > +0.906 AND vol_5d <= +0.615 AND btc_return_3d > -0.007,3,554,236,220,1.263537906137184,3.8135593220338984,3.6363636363636362,1.8333837010174274,2.0800661203203576,1.9834165834165831,-0.718071923797101
h5_tail_20,3,13,roc_7d > +0.906 AND vol_5d > +0.615 AND btc_return_21d <= +0.015,3,1631,405,399,2.942979767014102,2.4691358024691357,2.506265664160401,1.8333837010174274,1.3467643467643466,1.367016442204412,-0.5222725449292991
h5_tail_20,3,14,roc_7d > +0.906 AND vol_5d > +0.615 AND btc_return_21d > +0.015,3,2041,1090,1078,8.525232729054386,6.605504587155964,6.679035250463822,1.8333837010174274,3.602903518499849,3.643010051173316,-1.4675234070285101
h5_tail_20,4,3,log_return_1d <= +0.037 AND atr_pct_14 <= +0.080 AND btc_return_21d <= +0.308,3,43273,9939,5082,0.4529383218172995,0.9357078176878962,0.9641873278236914,1.9130136398730377,0.4891276246990047,0.5040148735623664,-0.5098469287018806
h5_tail_20,4,6,log_return_1d <= +0.037 AND atr_pct_14 > +0.080 AND vol_7d <= +0.960,3,13053,9335,7070,1.6011644832605532,1.4997321906802357,1.640735502121641,1.9130136398730377,0.7839631455945967,0.8576705716695949,-0.3147513655518067
h5_tail_20,4,7,log_return_1d <= +0.037 AND atr_pct_14 > +0.080 AND vol_7d > +0.960,3,1661,648,638,6.381697772426249,6.327160493827161,6.426332288401254,1.9130136398730377,3.307430936167857,3.3592715464526197,-1.5242574397019184
h5_tail_20,4,10,log_return_1d > +0.037 AND log_return_1d <= +0.063 AND btc_return_14d <= +0.163,3,4252,1855,1445,1.8344308560677327,3.288409703504043,3.875432525951557,1.9130136398730377,1.718968247253212,2.0258258724223004,-1.1401902957655472
h5_tail_20,4,11,log_return_1d > +0.037 AND log_return_1d <= +0.063 AND btc_return_14d > +0.163,3,1189,55,31,4.878048780487805,0.0,0.0,1.9130136398730377,0.0,0.0,1.6990850903470425
h5_tail_20,4,13,log_return_1d > +0.037 AND log_return_1d > +0.063 AND range_contraction_14d <= +0.213,3,1056,367,336,12.784090909090908,9.264305177111716,9.821428571428571,1.9130136398730377,4.842780513434586,5.13400864830237,-3.4294950323051623
h5_tail_20,4,14,log_return_1d > +0.037 AND log_return_1d > +0.063 AND range_contraction_14d > +0.213,3,2538,1115,998,4.846335697399527,6.9058295964125564,7.515030060120241,1.9130136398730377,3.609921776026061,3.928372439947159,-2.2367573232300155
h5_tail_20,5,3,log_return_1d <= +0.039 AND atr_pct_14 <= +0.065 AND btc_return_5d <= +0.114,3,39281,14530,5615,0.414958885975408,0.4817618719889883,0.5164737310774711,1.290389899481757,0.37334597254866314,0.40024625989779977,-0.27515914467051333
h5_tail_20,5,6,log_return_1d <= +0.039 AND atr_pct_14 > +0.065 AND vol_7d <= +0.960,3,36045,10140,6725,1.370509085864891,1.5088757396449703,1.5464684014869887,1.290389899481757,1.1693176924671846,1.1984504854758065,-0.4597332845301584
h5_tail_20,5,7,log_return_1d <= +0.039 AND atr_pct_14 > +0.065 AND vol_7d > +0.960,3,2802,886,849,5.603140613847252,3.611738148984198,3.769140164899882,1.290389899481757,2.798951038313873,2.9209312366856204,-1.5710739581973852
h5_tail_20,5,10,log_return_1d > +0.039 AND log_return_1d <= +0.087 AND btc_return_5d <= +0.140,3,8523,2584,1855,2.921506511791623,2.3993808049535605,2.7493261455525606,1.290389899481757,1.8594231138334183,2.130616604064196,0.003380942597892372
h5_tail_20,5,13,log_return_1d > +0.039 AND log_return_1d > +0.087 AND return_5d <= +0.923,3,1210,264,214,6.446280991735537,6.4393939393939394,7.943925233644859,1.290389899481757,4.990269950175611,6.1562208731138375,-0.07396739652881987
h5_tail_20,5,14,log_return_1d > +0.039 AND log_return_1d > +0.087 AND return_5d > +0.923,3,1380,347,342,13.333333333333334,10.662824207492795,10.526315789473683,1.290389899481757,8.263257649316047,8.157469144559512,-3.028368056019575
h6_hit_5_24h,1,3,atr_pct_14 <= +0.047 AND btc_rv_30d <= +0.020 AND atr_pct_14 <= +0.039,3,2970,1827,1741,3.5690235690235688,10.50903119868637,10.626076967260195,19.868888616591104,0.5289189245296297,0.5348098312045048,0.149293217100473
h6_hit_5_24h,1,4,atr_pct_14 <= +0.047 AND btc_rv_30d <= +0.020 AND atr_pct_14 > +0.039,3,2734,1179,1140,7.571324067300658,14.079728583545378,14.12280701754386,19.868888616591104,0.7086319147105385,0.7108000497698146,-0.17268103256251024
h6_hit_5_24h,1,5,atr_pct_14 <= +0.047 AND btc_rv_30d > +0.020,2,518,2317,2088,16.023166023166024,9.883470004315924,10.10536398467433,19.868888616591104,0.497434466267174,0.5086023772983485,0.007171402419924634
h6_hit_5_24h,1,8,atr_pct_14 > +0.047 AND btc_return_5d <= +0.078 AND return_7d <= +0.855,3,6673,8250,7923,12.722913232429192,19.72121212121212,19.765240439227565,19.868888616591104,0.9925674506396059,0.9947833933058042,-0.849350832917838
h6_hit_5_24h,1,9,atr_pct_14 > +0.047 AND btc_return_5d <= +0.078 AND return_7d > +0.855,3,1295,1897,1874,27.413127413127413,41.960991038481815,42.26254002134472,19.868888616591104,2.111894220567685,2.127071163208105,-2.9152549166109614
