feature,label,regime,oos_prec,oos_base,oos_lift,oos_n,n_folds_used,signal_dir,net_mean,net_sharpe,n_trades,win_rate,tp_rate,sl_rate
f_rv_7d,lab_pump20,bear_volatile,0.0642271774347246,0.025110293215674654,2.5578027657053375,5247,3,high,-0.009276928063593813,-7.911026856226599,5247,0.3285687059271965,0.13112254621688585,0.4417762530970078
f_ret_3d,lab_pump20,bear_volatile,0.06119571347997744,0.024966250989585784,2.4511374777696546,3546,3,high,-0.010509765263676437,-8.77054345579462,3546,0.32261703327693175,0.12295544275239707,0.4560067681895093
f_log_qv,lab_pump20,bear_volatile,0.06133514063029481,0.025414666907176347,2.4133757430035643,2951,3,high,-0.013462495180218392,-13.295724791990997,2951,0.3053202304303626,0.09827177228058286,0.4622161978990173
f_atr_pct_14,lab_pump20,bear_volatile,0.05950626381724392,0.025380771742210734,2.344541151925618,5428,3,high,-0.006883903490757689,-5.865496161685331,5428,0.3656963890935888,0.13706705969049374,0.43938835666912307
f_rv_21d,lab_pump20,bear_volatile,0.056786145791381394,0.025077845744219188,2.2643948914340633,4966,3,high,-0.007529787447964597,-5.995802634571082,4966,0.35521546516310915,0.13129279097865484,0.43797825211437774
f_atr_xs_decile,lab_pump20,bear_volatile,0.055517633674630265,0.024663970020241288,2.2509609616403163,4395,3,high,-0.006535177980829859,-5.340245754575189,4395,0.36063708759954494,0.1392491467576792,0.42025028441410694
f_qv_rank_pct,lab_pump20,bear_volatile,0.05497501135847342,0.025141902385160717,2.186589165620213,4402,3,high,-0.0125821158450097,-12.027601903477235,4402,0.31235801908223537,0.09700136301681055,0.43911858246251706
f_ret_7d,lab_pump20,bear_volatile,0.046862996158770806,0.024461093087478968,1.91581774335174,3905,3,high,-0.00957740746746091,-8.318707835570404,3907,0.32992065523419506,0.11952905042231891,0.4220629639109291
f_roc_7d,lab_pump20,bear_volatile,0.046862996158770806,0.024461093087478968,1.91581774335174,3905,3,high,-0.00957740746746091,-8.318707835570404,3907,0.32992065523419506,0.11952905042231891,0.4220629639109291
f_ret_14d,lab_pump20,bear_volatile,0.04584190420217455,0.024666004822104053,1.8585054423201137,3403,3,low,-0.0028233909654560014,-3.6941500515419112,4217,0.40668721840170735,0.12093905620109083,0.37087977235001185
f_qv_surge_30d,lab_pump20,bull_quiet,0.04158790170132325,0.01360897974808676,3.055916201739514,5290,4,high,-0.0039197158828188335,-5.976782517943462,5290,0.41871455576559546,0.1056710775047259,0.3504725897920605
f_qv_surge_7d,lab_pump20,bull_quiet,0.03948992184286302,0.013569798033534902,2.910133352410403,4862,4,high,-0.0069037111457676695,-5.453338153147967,4862,0.38523241464417934,0.09749074454956808,0.3809132044426162
f_atr_xs_decile,lab_pump20,bull_quiet,0.035315315315315315,0.01316342719856165,2.6828359197500005,5550,4,high,-0.00764072795198405,-5.045358128475113,5550,0.37567567567567567,0.11009009009009009,0.4181981981981982
f_qv_rank_pct,lab_pump20,bull_quiet,0.03632784538296349,0.013737319756709918,2.6444638420256146,5588,4,high,-0.010098013653402455,-7.581413879584006,5588,0.35540443808160344,0.08410880458124552,0.4037222619899785
f_log_qv,lab_pump20,bull_quiet,0.03694624409035195,0.015474462647188218,2.387562329801821,5711,4,high,-0.00954275410896914,-7.980110321737318,5711,0.3580808965154964,0.08790054281211697,0.4015058658728769
f_rv_7d,lab_pump20,bull_quiet,0.034530386740331494,0.014791726854890795,2.3344391820563013,8688,4,high,-0.010350840001501264,-6.417688255518041,8688,0.35151933701657456,0.10025322283609577,0.45200276243093923
f_bounce_off_7d_low,lab_pump20,bull_quiet,0.03594306049822064,0.01579862284362065,2.2750755463938517,8430,4,high,-0.006383585791673224,-7.363559882060504,8430,0.39762752075919333,0.09739027283511269,0.39572953736654803
f_ret_3d,lab_pump20,bull_quiet,0.03483835005574136,0.015444498911280979,2.2557125521433856,7176,4,high,-0.003908409823309865,-7.986764973998087,7176,0.41833890746934227,0.0943422519509476,0.3338907469342252
f_ret_7d,lab_pump20,bull_quiet,0.033580462276493674,0.015346429353393032,2.1881612656086133,6879,4,high,-0.0026043804893292953,-6.635710474457292,6879,0.44468672772205264,0.09681639773222853,0.3333333333333333
f_roc_7d,lab_pump20,bull_quiet,0.033580462276493674,0.015346429353393032,2.1881612656086133,6879,4,high,-0.0026043804893292953,-6.635710474457292,6879,0.44468672772205264,0.09681639773222853,0.3333333333333333
f_rv_21d,lab_pump20,bull_quiet,0.030535237431789156,0.014094842610500726,2.166412089556804,8613,4,high,-0.008852356934688423,-5.7529032409340655,8613,0.3722280274004412,0.09450830140485313,0.4162312783002438
