strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
momentum_1d,TP5_SL3,0.15,1263,185,-0.1070609597261598,38.8756927949327,-43.52654829223657,-2.8727840666697184,-50.77335344009582,-3.15
atr_14,TP5_SL3,0.15,1260,181,-0.2727779894489814,38.730158730158735,-49.297013723820434,-3.671123498235875,-52.57596352281458,-3.15
vol_momentum,TP5_SL3,0.15,1261,183,-0.222718889403807,37.192704203013484,-53.70596050386736,-4.082037709644007,-57.38772459078064,-3.15
random_top100,TP5_SL3,0.2,1302,223,-0.29153324733634883,40.476190476190474,-48.52778642946491,-2.387018040815934,-52.627506831785794,-3.2
setup_momentum,TP5_SL3,0.2,1265,187,-0.1726553776702742,39.05138339920949,-44.314091652060995,-2.8172416048843534,-53.94111025029795,-3.2
setup_only,TP5_SL3,0.2,1263,185,-0.13687133211942318,39.1132224861441,-46.39729898490413,-3.172384157265253,-52.709233869204766,-3.2
distribution_beta,TP5_SL3,0.2,1260,181,-0.1544042208198756,39.285714285714285,-47.28938227579259,-3.3253387369472,-53.07829847818305,-3.2
momentum_1d,TP5_SL3,0.2,1263,185,-0.15706095972615985,38.8756927949327,-48.53282988719153,-3.368189738041269,-54.53855601189525,-3.2
atr_14,TP5_SL3,0.2,1260,181,-0.3227779894489814,38.333333333333336,-53.701657599619026,-4.184776474965393,-56.19615878261408,-3.2
vol_momentum,TP5_SL3,0.2,1261,183,-0.272718889403807,37.11340206185567,-57.77180945926261,-4.589335952598751,-60.66240080584642,-3.2
setup_momentum,TP5_SL5,0.15,1265,187,-0.0023015998318163503,49.40711462450593,-20.813723523835936,-0.7108929540202016,-45.0126948337449,-5.15
distribution_beta,TP5_SL5,0.15,1260,181,0.05281096441678232,50.23809523809524,-22.828159379387447,-0.8569174825258355,-45.32581978310228,-5.15
setup_only,TP5_SL5,0.15,1263,185,0.02908023049587245,49.56452889944576,-26.635707922103023,-1.056137257445803,-43.739548704050435,-5.15
momentum_1d,TP5_SL5,0.15,1263,185,-0.006111231717619708,49.16864608076009,-31.86573803694337,-1.3504787408684515,-48.04256594356581,-5.15
random_top100,TP5_SL5,0.15,1302,223,-0.31087302698139174,45.54531490015361,-49.33676438046631,-1.9469300387091226,-53.30149974435733,-5.15
vol_momentum,TP5_SL5,0.15,1261,183,-0.1012834273956319,48.29500396510706,-42.30233058689644,-2.132271675840801,-51.48160046980665,-5.15
atr_14,TP5_SL5,0.15,1260,181,-0.37103512943173655,46.42857142857143,-60.53329146715672,-3.7613158517900787,-63.39472752881282,-5.15
setup_momentum,TP5_SL5,0.2,1265,187,-0.052301599831816384,49.40711462450593,-27.89428857372772,-1.0917849803043582,-48.97772805482252,-5.2
distribution_beta,TP5_SL5,0.2,1260,181,0.002810964416782276,50.23809523809524,-29.518245553758405,-1.239678066099125,-48.674312514587356,-5.2
setup_only,TP5_SL5,0.2,1263,185,-0.02091976950412758,49.48535233570863,-33.13132500694272,-1.4423855217837585,-47.717965439105384,-5.2
momentum_1d,TP5_SL5,0.2,1263,185,-0.05611123171761977,49.16864608076009,-37.900622243690265,-1.733810451429509,-51.451667695015615,-5.2
random_top100,TP5_SL5,0.2,1302,223,-0.3608730269813919,44.93087557603687,-54.700652124811214,-2.308141615977962,-57.53058557548171,-5.2
vol_momentum,TP5_SL5,0.2,1261,183,-0.15128342739563197,48.136399682791435,-47.364478068823836,-2.5261523622403765,-54.62128126127451,-5.2
atr_14,TP5_SL5,0.2,1260,181,-0.42103512943173665,45.87301587301587,-63.966787659795,-4.15123149157994,-66.19383807437042,-5.2
vol_momentum,TP5_only,0.15,1261,183,0.13048216233285895,55.03568596352102,31.260431365018526,1.2844135927861604,-37.0885309343686,-7.96639410067551
setup_momentum,TP5_only,0.15,1265,187,0.17401243913641923,56.047430830039524,31.651193469098416,1.2657544344216798,-39.09226571743161,-8.774321397939001
distribution_beta,TP5_only,0.15,1260,181,0.2123497043870881,56.904761904761905,25.470203845652396,1.117531733507459,-39.46081760392357,-8.774321397939001
setup_only,TP5_only,0.15,1263,185,0.18854797198931877,56.215360253365,19.73830658322626,0.9272914052121048,-39.755604945379616,-8.774321397939001
momentum_1d,TP5_only,0.15,1263,185,0.16180754603228298,55.74030087094221,14.58832656970932,0.7666195416458866,-40.02901213540907,-8.774321397939001
random_top100,TP5_only,0.15,1302,223,-0.22943558179108559,47.38863287250384,-38.05260019815127,-1.1976861414702364,-47.57766060861473,-8.188217279550855
atr_14,TP5_only,0.15,1260,181,-0.3417567512644811,50.23809523809524,-54.92839634649898,-2.4419353917492166,-59.24435429969166,-11.878222018808504
vol_momentum,TP5_only,0.2,1261,183,0.08048216233285894,54.8770816812054,19.79246441436995,0.9420986926044206,-39.20689190010102,-8.01639410067551
setup_momentum,TP5_only,0.2,1265,187,0.1240124391364192,56.047430830039524,19.90891287698229,0.9275117763964382,-40.78988003326624,-8.824321397939002
distribution_beta,TP5_only,0.2,1260,181,0.16234970438708807,56.82539682539682,14.620014039005525,0.7801511802502147,-41.14832033479413,-8.824321397939002
setup_only,TP5_only,0.2,1263,185,0.13854797198931876,56.13618368962787,9.162521015334413,0.5909538413829694,-41.43505029116615,-8.824321397939002
momentum_1d,TP5_only,0.2,1263,185,0.11180754603228292,55.74030087094221,4.465081084639366,0.43147269981556646,-41.70099479564337,-8.824321397939002
random_top100,TP5_only,0.2,1302,223,-0.2794355817910856,46.774193548387096,-44.60588081290812,-1.5394790256841395,-51.77147793254776,-8.238217279550856
atr_14,TP5_only,0.2,1260,181,-0.39175675126448106,49.682539682539684,-58.84744676998241,-2.753656064889365,-61.86649767654738,-11.928222018808505
